r_um,r_inner_um,r_outer_um,n_cells_full,n_cells_facing,n_cells_away,I2_full_nM,I2_facing_nM,I2_away_nM,S2_free_full_nM,S2_free_facing_nM,S2_free_away_nM,Th2_full_nM,Th2_facing_nM,Th2_away_nM,S2_I2_full_nM,S2_I2_facing_nM,S2_I2_away_nM,S2_Th2_full_nM,S2_Th2_facing_nM,S2_Th2_away_nM,S2_total_full_nM,S2_total_facing_nM,S2_total_away_nM
24.5,24.0,25.0,38,19,19,67.29051729325106,65.09052108574441,69.61464532894178,2.9241276943756795,3.2162963439381107,2.615473821573088,37.66187899998976,34.227721283893786,41.289804448101314,32.64457384443588,34.85444220395987,30.310016633823025,362.7672884399673,366.1641197780067,359.1787954606103,398.3359899787789,404.2348583259047,392.10428591600635
25.5,25.0,26.0,39,18,21,67.66466984560876,65.29850996930823,69.70824509784086,2.874175819943569,3.1867862226448165,2.6041843925048576,38.24141915543554,34.513757040971946,41.46087956557118,32.26906864061085,34.64580786397569,30.216356350741552,362.19115433808474,365.87834475640074,359.0066480143114,397.33439879863914,403.7109388430212,391.82718875755774
26.5,26.0,27.0,43,22,21,67.3299906888674,64.97497790340815,69.87219040985292,2.920958428436295,3.2337593368012594,2.583294706659793,37.761714964682376,34.08216623300541,41.73373066530943,32.605545318091096,34.970999553280926,30.052074214310746,362.6631293322948,366.30360119112447,358.73329650891674,398.189633078822,404.50836008120666,391.3686654298873
27.5,27.0,28.0,43,22,21,66.86909967617338,64.37582914904625,69.39560420046062,2.9840217524562007,3.320334584123985,2.643226045957562,37.06929356214713,33.27530130306551,40.91385776141412,33.06872762009492,35.57294404624679,30.53113129365159,363.3459317473463,367.10104025982173,359.5407695947698,399.3986811198974,405.9943188901925,392.71512693437893
28.5,28.0,29.0,48,25,23,66.75818342030853,64.4026076564048,69.27980097695372,2.998201183645112,3.315925561685058,2.658080784158591,36.884511676953394,33.30086242693159,40.72076818977204,33.180465094506815,35.54631940866661,30.647844464566433,363.5257242528086,367.07311331087453,359.7282838706549,399.7043905309606,405.9353582812262,393.0342091193798
29.5,29.0,30.0,54,28,26,66.64034588843356,64.02848028335154,69.5384371915327,3.017723425765378,3.3713023443125008,2.6253969650138007,36.770156096362385,32.815522739543276,41.15816462024785,33.29910523242903,35.922288108266294,30.388456436369005,363.6364825427473,367.5516674077923,359.29224554014877,399.9533112009417,406.84525786037113,392.30609894153156
30.5,30.0,31.0,57,29,28,66.48972731099225,63.68793070169761,69.14326085221124,3.0383210867280686,3.421846477855101,2.6750907630533907,36.53653867260522,32.37447034393863,40.47836224192645,33.45067116427095,36.26450660818574,30.785735849148846,363.8648879878087,367.98648291180973,359.9613960862652,400.35388023880796,407.67283599785054,393.4222226984674
31.5,31.0,32.0,75,36,39,66.32580568611411,63.64105819007573,68.82490545479551,3.0596976146009203,3.428986665665041,2.7159445490136522,36.26941079271,32.315198532011756,39.9501930489967,33.615643414040896,36.311815694093355,31.10590887425752,364.12614435579735,368.04282340309464,360.48029992702163,400.80148538443905,407.7836257628531,394.3021533502928
32.5,32.0,33.0,97,52,45,65.82448895396762,62.983285441666126,68.90746335545091,3.1332454610257594,3.527441474656902,2.7055055212679306,35.60598083498143,31.475383243641723,40.08806970393874,34.1193893453526,36.97256481288513,31.023424240685525,364.78054763929765,368.87275119196846,360.3401199318417,402.0331824456758,409.37275747951065,394.0690496937952
33.5,33.0,34.0,135,65,70,65.93091770987178,62.94800559683892,68.55088506296171,3.1172933644777894,3.5341319108959497,2.751173498473878,35.73128756079736,31.44667733622706,39.49456937525071,34.01286733966801,37.00823230487973,31.38196233071526,364.6529253811663,368.8985400214487,360.9238943772894,401.783086085312,409.4409042372243,395.05703020647843
34.5,34.0,35.0,135,69,66,65.47765902407183,62.52260579629266,68.5661613419093,3.1836693798565046,3.599289653208179,2.749279851600327,35.12481926382002,30.921001353810095,39.51848000630008,34.46837722643658,37.43562440944508,31.36713027894729,365.25039348603786,369.41683705273203,360.8957948981317,402.9024400923307,410.45175111538543,395.0122050286793
35.5,35.0,36.0,117,60,57,65.23290492555171,62.27479636827463,68.30614384445501,3.2182384749810464,3.6371812043282423,2.7829903846247896,34.77385002601123,30.613882620111163,39.09572445544367,34.71437001285416,37.6846025018884,31.62853529558698,365.59594379057893,369.7194304204506,361.3119699785551,403.52855227841434,411.04121412666706,395.7234956587666
36.5,36.0,37.0,223,110,113,65.08021895131674,61.912159093356166,68.1674090352742,3.241988772840341,3.6946613225685243,2.800871410966939,34.582423681495996,30.18756281856583,38.86509872070594,34.868119165384144,38.04898356601528,31.768451395103032,365.78121898478514,370.13849319443705,361.5351711396596,403.89132692300944,411.8821380830207,396.10449394572964
37.25,37.0,37.5,15,9,5,63.98147492578759,61.55124295575009,67.95291031598006,3.4010916021342616,3.7537112718294936,2.8301357781443053,33.080401160607686,29.785358465228377,38.54721173562759,35.97141014246571,38.41136016009014,31.984042990908492,367.2690575374845,370.536437859233,361.8484363596246,406.6415592820846,412.7015092911527,396.6626151286774
