r_um,r_inner_um,r_outer_um,n_cells_full,n_cells_facing,n_cells_away,I2_full_nM,I2_facing_nM,I2_away_nM,S2_free_full_nM,S2_free_facing_nM,S2_free_away_nM,Th2_full_nM,Th2_facing_nM,Th2_away_nM,S2_I2_full_nM,S2_I2_facing_nM,S2_I2_away_nM,S2_Th2_full_nM,S2_Th2_facing_nM,S2_Th2_away_nM,S2_total_full_nM,S2_total_facing_nM,S2_total_away_nM
10.5,10.0,11.0,17,9,8,0.0,0.0,0.0,19.06848933599371,19.060185616770536,19.07948882193551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.06848933599371,19.060185616770536,19.07948882193551
11.5,11.0,12.0,18,6,12,0.0,0.0,0.0,18.990615633036885,18.960811758284706,19.006494656599337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.990615633036885,18.960811758284706,19.006494656599337
12.5,12.0,13.0,21,13,8,0.0,0.0,0.0,18.86268310482839,18.84934632669458,18.888963526096127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86268310482839,18.84934632669458,18.888963526096127
13.5,13.0,14.0,13,6,7,0.0,0.0,0.0,18.787704406015248,18.763548448771164,18.810304423817396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.787704406015248,18.763548448771164,18.810304423817396
14.5,14.0,15.0,24,10,14,0.0,0.0,0.0,18.66258766619863,18.642011080047677,18.675652182798665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66258766619863,18.642011080047677,18.675652182798665
15.5,15.0,16.0,12,5,7,0.0,0.0,0.0,18.522841256051347,18.511905491555623,18.530176331607954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.522841256051347,18.511905491555623,18.530176331607954
16.5,16.0,17.0,17,12,5,0.0,0.0,0.0,18.395277737225744,18.39085997152109,18.404112326599744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.395277737225744,18.39085997152109,18.404112326599744
17.5,17.0,18.0,16,6,10,0.0,0.0,0.0,18.267332354348664,18.257392093706898,18.27333834562113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.267332354348664,18.257392093706898,18.27333834562113
18.5,18.0,19.0,19,9,10,0.0,0.0,0.0,18.12991446669402,18.110376624841322,18.144986380318734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12991446669402,18.110376624841322,18.144986380318734
19.5,19.0,20.0,15,9,6,0.0,0.0,0.0,17.979700778061613,17.98379552697912,17.973675608864575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.979700778061613,17.98379552697912,17.973675608864575
