Time_hours,I2_norm_nM,I2_fast_nM,I2_diff_nM,I2_percent_diff,S2_free_norm_nM,S2_free_fast_nM,S2_free_diff_nM,S2_free_percent_diff,S2_total_norm_nM,S2_total_fast_nM,S2_total_diff_nM,S2_total_percent_diff
1.25,73.87209949833155,73.86269133315216,-0.009408165179394246,-0.012735749008469341,3.8200432040641648,3.8215188676553775,0.0014756635912127614,0.03862950004447056,400.34061525707335,400.2779504616264,-0.06266479544694903,-0.015652869846020913
1.2666666666666666,73.50479293763583,73.49448138347422,-0.010311554161603453,-0.014028410596778574,3.832284333496912,3.83389008109514,0.001605747598228291,0.04190053395028406,400.8487618701152,400.7882148211762,-0.06054704893898588,-0.015104711476844878
1.2833333333333334,73.1454656177083,73.13430425345348,-0.01116136425481784,-0.015259133509590659,3.844002192321713,3.845708552360788,0.0017063600390749833,0.04439019422214144,401.3401494835133,401.2808423324863,-0.05930715102698514,-0.014777278351868811
1.3,72.79402114149859,72.78206315088582,-0.011957990612771141,-0.016427160397592188,3.855228511389565,3.8570124456772863,0.0017839342877215003,0.04627311409560274,401.81568637645904,401.7569136395564,-0.05877273690265383,-0.014626790067023407
1.3166666666666669,72.45035672305383,72.43765438173592,-0.012702341317904597,-0.01753247588063661,3.865993876716413,3.867836424665899,0.0018425479494861285,0.04766039492672707,402.27619697674015,402.21739374296993,-0.05880323377022023,-0.014617626946895957
1.3333333333333333,72.11436411567085,72.10096843125635,-0.013395684414504672,-0.018575611916951944,3.876326563392656,3.878211998641748,0.0018854352490920157,0.04863974224715052,402.72243057281565,402.66314723355,-0.05928333926567575,-0.014720644981545624
1.35,71.78593047610754,71.77189092440416,-0.014039551703376674,-0.019557525562825223,3.8862525331492064,3.88816783834608,0.0019153051968734403,0.04928411575254431,403.15506998882046,403.0949514626184,-0.06011852620207492,-0.014912010458839576
1.3666666666666667,71.4649391432073,71.45030347786872,-0.014635665338587955,-0.020479504375229104,3.895795612541365,3.897730062507637,0.0019344499662721226,0.0496548114599424,403.57473935975713,403.5135079172275,-0.06123144252961765,-0.015172268370105874
1.3833333333333333,71.15127033371928,71.136084455007,-0.015185878712287604,-0.02134308866315612,3.904977689185454,3.9069224969430008,0.0019448077575465739,0.04980330010418688,403.9820109763811,403.9194520376406,-0.06255893874049434,-0.015485575357500723
1.4,70.84480176244836,70.82910963398142,-0.015692128466938016,-0.022150006883434752,3.913818895947047,3.91576690808586,0.0019480121388131266,0.049772669369816516,404.3774112839652,404.3133616857688,-0.06404959819639089,-0.015839064302089183
1.4166666666666667,70.54540919421227,70.5292527984323,-0.016156395779972854,-0.02290212214304991,3.9223377781499686,3.9242832129133913,0.001945434763422682,0.04959885847312917,404.7614261308333,404.6957644473682,-0.06566168346506629,-0.016222317450735064
1.4333333333333331,70.2529669345795,70.23638625910577,-0.01658067547373321,-0.023601388236276704,3.930551444175322,3.932489667244516,0.0019382230691937785,0.04931173390609168,405.1345053569654,405.06714392752247,-0.06736142944293988,-0.016626929711550362
1.45,69.96734826571134,69.95038131400761,-0.01696695170372209,-0.024249813840718365,3.938475700884689,3.9404030343368817,0.0019273334521927588,0.04893602496417147,405.49706680428136,405.427945178188,-0.06912162609336292,-0.01704614700128655
1.4666666666666666,69.68842583300096,69.67110865386746,-0.017317179133499394,-0.02484943364196188,3.9461251753898954,3.948038735628156,0.0019135602382607253,0.04849213223631855,405.84949982128376,405.7785793782182,-0.07092044306557455,-0.01747456707395338
1.4833333333333334,69.41607198762378,69.39843871897877,-0.0176332686450138,-0.025402285292313347,3.953513424571229,3.955410985361576,0.001897560790347086,0.047996821727066284,406.1921683263129,406.1194278701066,-0.07274045620630432,-0.017907892342195173
1.5,69.15015908959174,69.13224208563001,-0.017917003961727573,-0.02591028595973886,3.9606530335946486,3.962532898281365,0.0018798646867161928,0.04746350338620918,406.5254134859512,406.4508450680463,-0.07456841790491353,-0.018342867489018734
1.5166666666666666,68.89055977543335,68.87238952063585,-0.018170254797496455,-0.02637553658545832,3.967555704543028,3.96941663427378,0.0018609297307521366,0.046903682502082815,406.8495560581501,406.7731632952321,-0.07639276291797614,-0.018776661245037095
1.5333333333333334,68.63714719419839,68.61875244529845,-0.01839474889993653,-0.02679999045981818,3.9742323361590297,3.9760734575854704,0.0018411214264406617,0.04632646686731072,407.1648984434503,407.08669343384906,-0.0782050096012199,-0.019207208160671424
1.55,68.38979521510393,68.37120307125802,-0.01859214384590757,-0.02718555273843178,3.9806930955962527,3.982513831855556,0.001820736259303235,0.045739176961858044,407.4717264821493,407.3917278718021,-0.07999861034716105,-0.019632923009853462
1.5666666666666669,68.14837860979453,68.12961458443297,-0.01876402536156263,-0.02753407453609732,3.986947482986769,3.988747497096832,0.0018000141100631417,0.04514767545206502,407.7703110304229,407.68854244963376,-0.08176858078911664,-0.02005260770027371
1.5833333333333333,67.91277321188036,67.89386130499642,-0.018911906883943175,-0.02784734887049909,3.9930043895548826,3.994783537542737,0.0017791479878543903,0.044556624893986645,408.0609093441329,407.9773981480836,-0.0835111960493009,-0.020465375177329916
1.6,67.68285605613822,67.66381882607762,-0.019037230060604315,-0.028127108059409104,3.998872149935777,4.000630442044052,0.0017582921082750502,0.04396970051426347,408.3437662953192,408.2585425532444,-0.08522374207478833,-0.02087058726229054
1.6166666666666667,67.45850549951064,67.43936413355394,-0.01914136595669902,-0.02837502226733718,4.004558589293772,4.0062961579411445,0.0017375686473721785,0.04338976715230452,408.6191154431074,408.5322111306474,-0.08690431245997843,-0.021267803970878657
1.6333333333333333,67.23960132581416,67.2203757090279,-0.019225616786258115,-0.028592698955930824,4.010071065776721,4.011788139164964,0.0017170733882432287,0.042819026398242754,408.8871799779079,408.79862833511714,-0.08855164279077599,-0.021656742281712136
1.65,67.026024835867,67.00673361784503,-0.01929121802197642,-0.028781683039113028,4.015416508789577,4.017113389225389,0.0016968804358121758,0.04225913879912025,409.1481735553093,409.0580085794041,-0.09016497590522476,-0.022037242674636092
1.6666666666666667,66.81765892456595,66.79831958379958,-0.0193393407663649,-0.028943457579377514,4.020601453521642,4.022278499668007,0.0016770461463657682,0.04171132517740212,409.4023010338979,409.3105570813242,-0.09174395257372225,-0.022409242044325
1.6833333333333331,66.6143881462823,66.59501705198981,-0.01937109429248096,-0.02907944489401131,4.02563207211821,4.027289684514757,0.001657612396547492,0.041176450476640016,409.6497591293652,409.5564706063117,-0.0932885230535021,-0.022772751838489935
1.7,66.41609876980192,66.39671124112056,-0.01938752868136362,-0.029191007964139478,4.0305142018468665,4.032152811144406,0.0016386092975393396,0.04065509300993145,409.8907369956319,409.79593811987945,-0.09479887575247403,-0.023127840469711388
1.7166666666666666,66.22267882390763,66.2032891864071,-0.019389637500523804,-0.02927945206215938,4.035253370572387,4.036873428016507,0.001620057444119638,0.04014760153437003,410.12541674229976,410.0291413624121,-0.09627537988768609,-0.02347461921585324
1.7333333333333334,66.03401813458545,66.01463977410607,-0.019378360479379353,-0.029346026528150795,4.039854819821745,4.041456789595902,0.0016019697741569416,0.03965414218097142,410.353973896515,410.256255356941,-0.09771853957403209,-0.023813230964025028
1.75,65.85000835473588,65.83065376858644,-0.019354586149432862,-0.02939192664208811,4.044323525690272,4.045907878793026,0.0015843531027535107,0.039174736953891405,410.57657781626176,410.4774488590373,-0.09912895722447956,-0.024143841266279206
1.7666666666666666,65.67054298717926,65.6512238327545,-0.01931915442476395,-0.02941829554924739,4.048664217814134,4.050231427199065,0.0015672093849303792,0.0387092952296378,410.7933920611785,410.6928847566568,-0.10050730452172729,-0.02446663127111815
1.7833333333333334,65.49551740166277,65.47624454255757,-0.01927285910520027,-0.029426226205689885,4.052881396609751,4.054431933361919,0.0015505367521679858,0.038257639452884434,411.00457472619,410.9027204266588,-0.10185429953122593,-0.024781792173257673
1.8,65.32482884650435,65.3056123962144,-0.019216450289945897,-0.029416763318430347,4.056979348959223,4.058513679320234,0.001534330361010916,0.03781952603245399,411.2102787425533,411.1071080537701,-0.10317068878322289,-0.02508952088909602
1.8166666666666669,65.15837645544366,65.13922581874978,-0.01915063669387962,-0.0293909052613905,4.060962162501935,4.062480745587522,0.0015185830855868332,0.037394662270166114,411.4106521503106,411.30619491695,-0.10445723336061974,-0.0253900167180056
1.8333333333333333,64.99606125021265,64.97698516235113,-0.01907608786152082,-0.029349605952404396,4.064833738674996,4.066337024755735,0.0015032860807391302,0.036982720017206726,411.6058383456246,411.5001236474152,-0.10571469820939683,-0.025683478794736727
1.85,64.83778613928632,64.81879270300935,-0.01899343627697192,-0.029293776681655503,4.068597804629361,4.070086233867735,0.0014884292383738895,0.03658334664292239,411.7959763060156,411.68903246198346,-0.10694384403211643,-0.025970104174268052
1.8666666666666667,64.68345591322836,64.66455263385889,-0.018903279369467896,-0.029224287884101755,4.072257924135602,4.073731925690991,0.001474001555388682,0.03619617378979159,411.98120079612886,411.87305537488993,-0.10814542123893034,-0.026250086418978785
1.8833333333333333,64.53078033174772,64.51417105558905,-0.016609276158675357,-0.025738532950149308,4.074886057964072,4.077277499009135,0.0023914410450629475,0.058687310787231654,412.1631871185885,412.05232239078407,-0.11086472780442591,-0.026898260511686034
1.9,64.38214552168535,64.36755596425981,-0.014589557425537691,-0.022660874854851805,4.078083263302184,4.080726208034618,0.002642944732434316,0.06480850345106048,412.3400951378097,412.2269596812452,-0.11313545656452106,-0.027437413411545545
1.9166666666666667,64.23732519909358,64.22461723682312,-0.012707962270454232,-0.019782832225762645,4.081272170872808,4.084081171033725,0.002809000160917563,0.06882658257797199,412.5128388061739,412.3970897468322,-0.115749059341681,-0.02805950468757838
1.9333333333333331,64.09621012450611,64.08526661461852,-0.010943509887596292,-0.0170735677918221,4.084407144668012,4.087345378244695,0.0029382335766827694,0.07193782286172144,412.6815385519973,412.5628315664045,-0.11870698559278026,-0.028764791856038734
1.95,63.9587028459863,63.94941768508662,-0.009285160899679568,-0.014517431540221197,4.087480376709047,4.090521699160814,0.0030413224517671367,0.07440579945281098,412.8462548225552,412.7243007352181,-0.12195408733708746,-0.029539831332490676
1.9666666666666663,63.82471012401577,63.816985861919086,-0.0077242620966870845,-0.012102306585769548,4.090489399028983,4.093612889241518,0.003123490212534996,0.07635981682965522,413.00704301771873,412.8816095930944,-0.12543342462430473,-0.030370771333050467
1.9833333333333332,63.69414179267796,63.68788836384222,-0.006253428835741204,-0.009817902651229496,4.093433286324002,4.096621596107955,0.003188309783952903,0.07788840225159939,413.1639608392027,413.0348673437885,-0.1290934954141676,-0.03124510065010459
2.0,63.56691038075822,63.56204419221259,-0.0048661885456340315,-0.007655222688166125,4.096311816587897,4.099550365273252,0.003238548685355447,0.07906011139681889,413.3170695243608,413.1841801665286,-0.13288935783219813,-0.03215191619962012
