Time (hours),I_1 (nM),S_1_free (nM),S_1_total (nM),I_2 (nM),S_2_free (nM),S_2_total (nM),I_3 (nM),S_3_free (nM),S_3_total (nM)
3.8833333333333333,100.0,,,69.88603293427964,2.6450179355925876,391.9934571932736,81.36418756171287,1.3198557134866566,346.3886355112027
3.9,100.0,,,69.8738088064384,2.6452237197173885,392.0091300076722,81.37739389559005,1.3189599501322304,346.3254282468909
3.9166666666666665,100.0,,,69.86185253329488,2.645425256842748,392.02446256787806,81.39052658131911,1.3180806318050753,346.26311634083225
3.933333333333333,100.0,,,69.85015820568692,2.645622640171645,392.039462415088,81.40358340695175,1.317217473634489,346.20169099914403
3.95,100.0,,,69.8387200443827,2.645815960702301,392.05413692030197,81.4165622726774,1.3163701950180744,346.1411433743711
3.966666666666667,100.0,,,69.8275323972784,2.6460053072843452,392.0684932882363,81.42946118744733,1.3155385195841438,346.08146457213104
3.9833333333333334,100.0,,,69.81658973665331,2.6461907666737283,392.08253856114385,81.4422782656813,1.3147221751532594,346.022645657506
4.0,100.0,,,69.80588665648155,2.6463724235863735,392.09627962254365,81.45501172405484,1.3139208936988986,345.96467766118616
4.016666666666667,100.0,,,69.79541786979904,2.6465503607504464,392.1097232008621,81.46765987836604,1.3131344113074195,345.9075515853737
4.033333333333333,100.0,,,69.78517820612521,2.6467246589570745,392.12287587298806,81.48022114047941,1.3123624681373152,345.8512584094527
4.05,100.0,,,69.77516260893778,2.6468953971097964,392.13574406774507,81.4926940153459,1.311604808377855,345.79578909543295
4.066666666666666,100.0,,,69.76536613320023,2.6470626522725746,392.14833406928125,81.50507709809705,1.3108611802072343,345.74113459317323
4.083333333333333,100.0,,,69.75578394294058,2.647226499716481,392.1606520203809,81.51736907121185,1.3101313357501692,345.68728584539144
4.1,100.0,,,69.7464113088806,2.64738701296504,392.1727039256974,81.52956870175478,1.3094150310351065,345.6342337924667
4.116666666666666,100.0,,,69.73724360611472,2.647544263838438,392.1844956549114,81.54167483868356,1.3087120259510896,345.58196937704054
4.133333333333334,100.0,,,69.7282763118374,2.6476983224963746,392.1960329458154,81.55368641022481,1.3080220842042425,345.5304835484224
4.15,100.0,,,69.71950500311819,2.6478492574797854,392.2073214073254,81.56560242131663,1.3073449732740212,345.47976726680616
4.166666666666667,100.0,,,69.71092535472353,2.6479971357513903,392.2183665224241,81.57742195111621,1.3066804643692573,345.429811507302
4.183333333333334,100.0,,,69.7025331369844,2.6481420227351946,392.22917365103393,81.58914415057147,1.3060283323839723,345.3806072637907
4.2,100.0,,,69.69432421370901,2.648283982354817,392.2397480328246,81.60076824005493,1.3053883558531056,345.33214555260463
4.216666666666667,100.0,,,69.68629454013953,2.648423077070816,392.2500947899546,81.61229350705875,1.3047603169081083,345.2844174160408
4.233333333333333,100.0,,,69.678440160952,2.648559367917028,392.2602189297496,81.62371930394936,1.304144001232484,345.2374139257129
4.25,100.0,,,69.67075720829872,2.648692914535792,392.2701253473184,81.63504504578079,1.303539198017307,345.1911261857437
4.266666666666667,100.0,,,69.66324189989226,2.6488237752124153,392.2798188281086,81.64627020816465,1.3029456999167324,345.14554533580707
4.283333333333333,100.0,,,69.65589053712993,2.64895200690855,392.2893040504025,81.65739432519638,1.3023633030035457,345.10066255402074
4.3,100.0,,,69.64869950325858,2.649077665294709,392.2985855877563,81.66841698743586,1.3017918067247818,345.05646905969644
4.316666666666666,100.0,,,69.6416652615782,2.649200804781989,392.3076679113815,81.67933783994147,1.3012310138574321,345.01295611595253
4.333333333333333,100.0,,,69.63478435368408,2.649321478552748,392.3165553924727,81.6901565803562,1.3006807304642602,344.97011503219085
4.35,100.0,,,69.62805339774653,2.649439738590774,392.32525230448067,81.70087295704504,1.3001407658497541,344.92793716644496
4.366666666666666,100.0,,,69.62146908682735,2.649555635710316,392.3337628253327,81.71148676728181,1.299610932516275,344.88641392760303
4.383333333333334,100.0,,,69.6150281872325,2.6496692195845553,392.342091039603,81.72199785548516,1.2990910461203387,344.8455367775084
4.4,100.0,,,69.60872753690016,2.649780538773297,392.35024094063215,81.73240611150176,1.2985809254291363,344.8052972329436
4.416666666666667,100.0,,,69.60256404382329,2.6498896407498123,392.3582164325974,81.74271146893622,1.2980803922772906,344.7656868675006
4.433333333333334,100.0,,,69.59653468450632,2.649996571927159,392.366021332536,81.75291390352646,1.2975892715237833,344.72669731334156
4.45,100.0,,,69.59063650245503,2.6501013776836286,392.3736593723216,81.76301343156342,1.2971073910092314,344.68832026285327
4.466666666666667,100.0,,,69.58486660669895,2.6502041023876513,392.3811342005954,81.77301010835413,1.2966345815133538,344.65054747019997
4.483333333333333,100.0,,,69.57922217034576,2.6503047894219933,392.38844938465235,81.78290402672721,1.2961706767127832,344.6133707527764
4.5,100.0,,,69.57370042916695,2.6504034812073436,392.3956084122845,81.79269531557972,1.2957155131391354,344.5767819925668
4.516666666666667,100.0,,,69.568298680214,2.6505002192252776,392.4026146935816,81.80238413846445,1.2952689301374065,344.5407731374103
4.533333333333333,100.0,,,69.56301428046467,2.650595044040624,392.40947156269095,81.8119706922166,1.2948307698246904,344.50533620217914
4.55,100.0,,,69.55784464549855,2.6506879953232754,392.41618227953603,81.82145520561917,1.2944008770492375,344.47046326986987
4.566666666666666,100.0,,,69.55278724820145,2.6507791118693897,392.422750031496,81.83083793810583,1.2939790993498383,344.43614649261315
4.583333333333333,100.0,,,69.54783961749787,2.6508684316221034,392.4291779350469,81.84011917850056,1.2935652869155705,344.4023780926035
4.6,100.0,,,69.54299933711111,2.6509559916916596,392.43546903736495,81.84929924379325,1.2931592925458733,344.36915036295204
4.616666666666666,100.0,,,69.53826404435031,2.651041828375067,392.4416263178933,81.85837847795024,1.2927609716110897,344.33645566846644
4.633333333333334,100.0,,,69.53363142892407,2.6511259771752065,392.4476526898721,81.86735725075911,1.2923701820132139,344.3042864463589
4.65,100.0,,,69.52909923177964,2.6512084728194956,392.45355100183474,81.87623595670671,1.2919867841471844,344.2726352068863
4.666666666666667,100.0,,,69.52466524396786,2.651289349278077,392.4593240390689,81.88501501388991,1.291610640862466,344.2414945339243
4.683333333333334,100.0,,,69.52032730553256,2.6513686397815244,392.4649745250446,81.893694862958,1.2912416174250358,344.2108570854786
4.7,100.0,,,69.51608330442447,2.65144637683805,392.4705051228092,81.90227596608618,1.2908795814798095,344.1807155941349
4.716666666666667,100.0,,,69.51193117543868,2.6515225922504393,392.4759184363504,81.91075880597924,1.2905244030134018,344.1510628674507
4.733333333333333,100.0,,,69.5078688991756,2.6515973171323255,392.4812170119293,81.91914388490478,1.2901759543173337,344.1218917882919
4.75,100.0,,,69.50389450102458,2.6516705819242823,392.4864033393805,81.92743172375526,1.2898341099516304,344.09319531511375
4.766666666666667,100.0,,,69.50000605016969,2.6517424164093963,392.49147985338544,81.93562286113803,1.2894987467088346,344.06496648219155
4.783333333333333,100.0,,,69.49620165861766,2.651812849728408,392.4964489347141,81.94371785249291,1.2891697435784282,344.0371983998019
4.8,100.0,,,69.49247948024683,2.651881910394597,392.5013129114401,81.95171726923633,1.2888469817116468,344.0098842543557
4.816666666666666,100.0,,,69.48883770987715,2.65194962630819,392.50607406012654,81.9596216979316,1.2885303443867424,343.98301730848584
4.833333333333333,100.0,,,69.48527458236066,2.652016024770514,392.51073460698655,81.96743173948465,1.2882197169746419,343.9565909010923
4.85,100.0,,,69.48178837169195,2.6520811324976425,392.51529672901546,81.97514800836439,1.287914986905021,343.9305984473443
4.866666666666666,100.0,,,69.47837740770242,2.6521449756339064,392.51976235838333,81.98277106427167,1.2876160514037067,343.90503467368796
4.883333333333334,100.0,,,69.47504002223951,2.6522075772619513,392.52413379668593,81.99030161484428,1.2873227946396661,343.8798918243855
4.9,100.0,,,69.47177460161352,2.6522689648391014,392.5284130781455,81.9977403108321,1.2870351092345163,343.85516354912266
4.916666666666667,100.0,,,69.46857956785168,2.6523291631559953,392.5326021911771,82.00508781369976,1.286752890378607,343.83084357288425
4.933333333333334,100.0,,,69.46545337795345,2.6523881962392655,392.5367030805501,82.01234479493473,1.2864760352671094,343.8069256958293
4.95,100.0,,,69.46239452312187,2.6524460875613434,392.5407176483926,82.01951193539584,1.2862044429913904,343.78340379320144
4.966666666666667,100.0,,,69.45940152800486,2.652502860084541,392.5446477551087,82.0265899246874,1.285938014488769,343.7602718151662
4.983333333333333,100.0,,,69.45647294995183,2.6525585362809245,392.54849522028053,82.0335794605551,1.285676652504823,343.73752378659236
5.0,100.0,,,69.45360737828592,2.652613138146209,392.5522618235576,82.04048124830263,1.2854202615600157,343.7151538067912
5.016666666666667,100.0,,,69.45080343359223,2.6526666872117524,392.55594930553167,82.0472960002275,1.2851687479182692,343.693156049221
5.033333333333333,100.0,,,69.44805976702162,2.6527192045554457,392.5595593685943,82.05402443507604,1.2849220195567075,343.6715247611613
5.05,100.0,,,69.44537505961,2.6527707108121796,392.56309367777976,82.06066727751647,1.2846799861361498,343.6502542633597
5.066666666666666,100.0,,,69.44274802161254,2.652821226183777,392.56655386158894,82.06722525762979,1.2844425589722788,343.6293389496548
5.083333333333333,100.0,,,69.44017739185277,2.6528707704486854,392.569941512798,82.07369911041788,1.2842096510072931,343.6087732865754
5.1,100.0,,,69.43766193708612,2.6529193629714474,392.5732581892487,82.08008957532854,1.2839811767820613,343.58855181291926
5.116666666666666,100.0,,,69.43520045137755,2.6529670227117523,392.5765054146229,82.08639739579658,1.2837570524086706,343.56866913931196
