param_value,t_down_hr,t_up_hr,midpoint_nM,I2_at_t0_nM,I2_at_shutoff_nM,I2_min_nM,on_converged,off_converged
1.836734693877551e-05,1.1937966531560327,31.701152968859805,52.663593543365636,100.0,5.327187086731269,5.327187086731269,True,False
1.8979591836734696e-05,1.1933774987055696,31.361757509916117,52.74987821603812,100.0,5.499756432076238,5.499756432076238,True,False
1.9591836734693877e-05,1.1929587632135938,31.043514169463403,52.83600408697403,100.0,5.672008173948061,5.672008173948061,True,False
2.020408163265306e-05,1.1925404449580996,30.74450155524603,52.921971403407476,100.0,5.843942806814948,5.843942806814948,True,False
2.0816326530612243e-05,1.1921225473947576,30.46302385773979,53.00778041289766,100.0,6.015560825795316,6.015560825795316,True,False
2.1428571428571428e-05,1.1917050686942716,29.3642459885406,53.09343136558744,100.0,6.18686273117488,6.18686273117488,True,False
2.2040816326530613e-05,1.1912880112627777,29.113500157419022,53.17892450514678,100.0,6.357849010293558,6.357849010293558,True,False
2.2653061224489794e-05,1.1908713754798046,28.876261976793604,53.26426008227476,100.0,6.528520164549514,6.528520164549514,True,False
2.3265306122448982e-05,1.1904551623679156,28.651462223098612,53.34943834578552,100.0,6.698876691571039,6.698876691571039,True,False
2.3877551020408164e-05,1.1900393740525708,28.438150798926838,53.43445954474285,100.0,6.8689190894857,6.8689190894857,True,False
2.448979591836735e-05,1.1896240086065146,28.235460992896336,53.51932392848623,100.0,7.038647856972463,7.038647856972463,True,False
2.510204081632653e-05,1.1892090681522431,28.04262143597691,53.604031746624855,100.0,7.208063493249718,7.208063493249718,True,False
2.571428571428571e-05,1.1887945534176685,27.858924835850456,53.68858324902826,100.0,7.377166498056524,7.377166498056524,True,False
2.63265306122449e-05,1.1883804665496422,27.683732346705945,53.77297868579055,100.0,7.545957371581089,7.545957371581089,True,False
2.693877551020408e-05,1.187966805505181,27.516470144952162,53.85721830741203,100.0,7.714436614824063,7.714436614824063,True,False
2.7551020408163265e-05,1.1875535723790596,27.356610719455237,53.941302364325395,100.0,7.88260472865079,7.88260472865079,True,False
2.816326530612245e-05,1.1871407678709018,27.203664616062074,54.02523110743991,100.0,8.050462214879813,8.050462214879813,True,False
2.8775510204081635e-05,1.186728392670099,27.05719670833697,54.10900478781635,100.0,8.218009575632705,8.218009575632705,True,False
2.9387755102040816e-05,1.1863164474323808,26.916796085272175,54.19262365673014,100.0,8.385247313460281,8.385247313460281,True,False
2.9999999999999997e-05,1.1859049340640293,26.782100205969563,54.27608796566622,100.0,8.552175931332444,8.552175931332444,True,False
