x,phi
180.875,0.2802141569569916
181.125,0.31504475091459544
181.375,0.35366459916997683
181.625,0.39641279686615005
181.875,0.4436495503033883
182.125,0.49575637355006386
182.375,0.5531361332176172
182.625,0.6162129226588676
182.875,0.6854317465730687
183.125,0.7612579969436138
183.375,0.8441767014218721
183.625,0.9346915257291197
183.875,1.033323512402304
184.125,1.1406095392807263
184.375,1.2571004825392325
184.625,1.3833590708352959
184.875,1.519957419264641
185.125,1.6674742343201296
185.375,1.8264916839236136
185.625,1.997591929846416
185.875,2.1813533234406433
186.125,2.3783462695532833
186.375,2.5891287677632615
186.625,2.814241644635988
186.875,3.0542034954902437
187.125,3.309505359170637
187.375,3.5806051544597164
187.625,3.8679219119841695
187.875,4.171829840699637
188.125,4.4926522732024115
188.375,4.830655539132298
188.625,5.186042820713296
188.875,5.558948048938673
189.125,5.9494299029532565
189.375,6.357465978727516
189.625,6.7829471960647325
189.875,7.225672515247604
190.125,7.685344036131274
190.375,8.161562553150233
190.625,8.653823639459437
190.875,9.161514332217662
191.125,9.683910488798135
191.375,10.220174880445901
191.625,10.769356085575414
191.875,11.330388239515
192.125,11.902091691072465
192.375,12.483174608852226
192.625,13.072235571851051
192.875,13.667767169566787
193.125,14.268160626761013
193.375,14.871711457228239
193.625,15.476626139563267
193.875,16.081029796122028
194.125,16.682974844290705
194.375,17.280450576975124
194.625,17.871393617068037
194.875,18.453699178724317
195.125,19.025233056752793
195.375,19.583844254500846
195.625,20.127378150441356
195.875,20.65369009444405
196.125,21.1606593165876
196.375,21.64620302449533
196.625,22.10829055969127
196.875,22.544957479491575
197.125,22.954319428563988
197.375,23.33458566357904
197.625,23.68407209538761
197.875,24.001213715912797
198.125,24.284576281433303
198.375,24.53286713012763
198.625,24.74494501958212
198.875,24.91982887935313
199.125,25.05670538450081
199.375,25.154935268140562
199.625,25.214058304328866
199.875,25.233796906832502
200.125,25.214058304328866
200.375,25.15493526814056
200.625,25.056705384500805
200.875,24.919828879353126
201.125,24.744945019582115
201.375,24.53286713012763
201.625,24.284576281433303
201.875,24.001213715912797
202.125,23.68407209538761
202.375,23.33458566357904
202.625,22.954319428563988
202.875,22.544957479491572
203.125,22.108290559691262
203.375,21.646203024495325
203.625,21.160659316587598
203.875,20.653690094444045
204.125,20.127378150441356
204.375,19.583844254500846
204.625,19.02523305675279
204.875,18.453699178724317
205.125,17.87139361706804
205.375,17.280450576975124
205.625,16.682974844290705
205.875,16.081029796122024
206.125,15.476626139563272
206.375,14.871711457228242
206.625,14.268160626761016
206.875,13.66776716956679
207.125,13.072235571851053
207.375,12.483174608852224
207.625,11.902091691072464
207.875,11.330388239515
208.125,10.769356085575414
208.375,10.220174880445903
208.625,9.683910488798139
208.875,9.161514332217665
209.125,8.653823639459441
209.375,8.161562553150235
209.625,7.685344036131277
209.875,7.225672515247607
210.125,6.782947196064733
210.375,6.357465978727517
210.625,5.949429902953257
210.875,5.558948048938674
211.125,5.186042820713298
211.375,4.830655539132299
211.625,4.492652273202414
211.875,4.171829840699639
212.125,3.8679219119841712
212.375,3.5806051544597177
212.625,3.3095053591706383
212.875,3.054203495490244
213.125,2.8142416446359886
213.375,2.589128767763262
213.625,2.3783462695532838
213.875,2.1813533234406437
214.125,1.9975919298464164
214.375,1.8264916839236138
214.625,1.6674742343201294
214.875,1.5199574192646408
215.125,1.3833590708352959
215.375,1.2571004825392327
215.625,1.1406095392807265
215.875,1.033323512402304
216.125,0.9346915257291197
216.375,0.8441767014218721
216.625,0.7612579969436138
216.875,0.6854317465730688
217.125,0.6162129226588676
217.375,0.5531361332176171
217.625,0.49575637355006386
217.875,0.44364955030338826
218.125,0.39641279686615005
218.375,0.35366459916997683
218.625,0.31504475091459544
218.875,0.28021415695699153
219.125,0.2488545031384581
219.375,0.2206678101920532
219.625,0.1953758886039924
219.875,0.17271971042129264
220.125,0.15245871302889455
220.375,0.13437004888536794
220.625,0.118247794128319
220.875,0.10390212785812478
221.125,0.09115849279904095
221.375,0.07985674693551716
221.625,0.06985031464217792
221.875,0.061005344779886776
222.125,0.05319988222720884
222.375,0.046323058364195153
222.625,0.04027430512979087
222.875,0.03496259643977489
223.125,0.030305719981968342
223.375,0.026229581701174936
223.625,0.022667544648435758
223.875,0.019559803297162684
224.125,0.01685279392114535
224.375,0.01449864118415225
