time_s,S2_M,I2_M,S2_tot_M
5100.0,1.1588086964303705e-05,2.6654072395192935e-111,1.3005432462521277e-05
5160.0,1.1677885033697155e-05,3.750539076174888e-113,1.3070169413085731e-05
5220.0,1.176609531797363e-05,5.2384338750220275e-115,1.313376170244178e-05
5280.0,1.1852745891919084e-05,7.263851775185223e-117,1.3196229570178563e-05
5340.0,1.1937864333908726e-05,1.0001560262626607e-118,1.3257592898014305e-05
5400.0,1.2021477734684405e-05,1.3676624230452938e-120,1.3317871216124069e-05
5460.0,1.2103612705976822e-05,1.8576898720204836e-122,1.3377083709355666e-05
5520.0,1.2184295388975265e-05,2.506808597380874e-124,1.3435249223335624e-05
5580.0,1.2263551462647607e-05,3.361175391697342e-126,1.3492386270467212e-05
5640.0,1.2341406151913169e-05,4.4786747466332095e-128,1.3548513035822407e-05
5700.0,1.2417884235671088e-05,5.931445602614813e-130,1.3603647382929672e-05
5760.0,1.2493010054686727e-05,7.80884290224423e-132,1.3657806859459403e-05
5820.0,1.2566807519338631e-05,1.0220885502489827e-133,1.3711008702808844e-05
5880.0,1.2639300117228517e-05,1.3302243757370476e-135,1.3763269845588254e-05
5940.0,1.2710510920656696e-05,1.7216821086718016e-137,1.3814606921010072e-05
6000.0,1.2780462593965319e-05,2.2162983958496504e-139,1.386503626818278e-05
6060.0,1.2849177400751787e-05,2.8379493797070605e-141,1.3914573937311179e-05
6120.0,1.2916677210954602e-05,3.615219226130347e-143,1.3963235694804694e-05
6180.0,1.298298350781395e-05,4.5821488001082106e-145,1.4011037028295376e-05
6240.0,1.3048117394709184e-05,5.779068830317265e-147,1.4057993151567165e-05
6300.0,1.3112099601875425e-05,7.253521290362807e-149,1.4104119009398e-05
6360.0,1.3174950493001398e-05,9.061271962705188e-151,1.4149429282316303e-05
6420.0,1.3236690071710606e-05,1.1267416239545938e-152,1.4193938391273382e-05
6480.0,1.3297337987927903e-05,1.3947579154692052e-154,1.4237660502233183e-05
6540.0,1.3356913544133499e-05,1.7189209436755173e-156,1.4280609530680925e-05
6600.0,1.3415435701506383e-05,2.109296603574755e-158,1.4322799146051989e-05
6660.0,1.3472923085959117e-05,2.5774194114705745e-160,1.4364242776082502e-05
6720.0,1.3529393994065928e-05,3.1364485931590796e-162,1.4404953611083004e-05
6780.0,1.3584866398885978e-05,3.801332038408408e-164,1.4444944608136546e-05
6840.0,1.3639357955683672e-05,3.801332038408408e-164,1.448422849522254e-05
6900.0,1.3692886007547811e-05,3.801332038408408e-164,1.452281777526772e-05
6960.0,1.3745467590911404e-05,3.801332038408408e-164,1.456072473012546e-05
7020.0,1.3797119440973874e-05,3.801332038408408e-164,1.4597961424484734e-05
