param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file
0.540816,0,63.36609726725419,3.4690307008534385,537.8722959734412,1.2640545805826544,481,157.97175463475287,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.559184,0,63.99927890245338,3.3753613915865297,552.9164696830875,1.2930768131396695,481,158.4995832517743,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.577551,0,64.64107564048581,3.282291155386495,567.8249169257922,1.3224371911230317,481,158.74406075291336,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.595918,0,65.29140661021623,3.1898506405830718,582.5893840922992,1.3521322574175967,481,159.51121589541435,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.614286,0,65.95016224220063,3.0980723060722077,597.2010157980657,1.3821683827964637,481,161.02145602926612,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.632653,0,66.61720137242995,3.006990511909178,611.6503103196839,1.4125415648733488,481,160.88133123517036,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.65102,0,67.29234792056302,2.9166416111327487,625.927073155345,1.4432154023843626,481,161.33597159199417,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.669388,0,67.97538751546413,2.8270640366264983,640.0203685201311,1.4741735781939596,481,161.31196315400302,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.687755,0,68.66606377254254,2.738298385107222,653.9184695896804,1.5053957576070383,481,160.75652008876204,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.706122,0,69.36407472273346,2.650387488378626,667.6088073514557,1.5368574772393904,481,160.0541143529117,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.72449,0,70.06906885926048,2.563376476818054,681.0779195960032,1.568529730229093,481,160.97760504856706,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.742857,0,70.78064108825473,2.477312828900691,694.3114007646303,1.6003787360029578,481,162.3786717671901,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.761224,0,71.49832904750652,2.392246393102609,707.2938530546206,1.6323729269404283,481,161.5836845319718,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.779592,0,72.22160894456587,2.3082293961542204,720.0088421047826,1.6644624058965591,481,163.5429607424885,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.797959,0,72.94989219485646,2.225316405818883,732.4388567362913,1.696595134313934,481,163.72981169261038,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.816327,0,73.68252176589465,2.1435642701365687,744.5652777114226,1.7287164096961545,481,164.5385939516127,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.834694,0,74.41876936993161,2.0630320013915786,756.3683559222749,1.7607658163441398,481,164.9123755749315,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.853061,0,75.1578333098496,1.983780603396297,767.8272035970418,1.7926772254146681,481,164.51926789060235,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.871429,0,75.89883671805401,1.905872851968501,778.9198040094042,1.8243789246698512,481,164.8119894620031,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.889796,0,76.64082723252474,1.8293729920574275,789.623040625356,1.855793867838232,481,166.32660613395274,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.908163,0,77.38277795144357,1.7543463533886994,799.9127505026413,1.8868400773266938,481,165.99480289034545,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.926531,0,78.12358942654195,1.680858902997702,809.763809469428,1.9174312415702894,481,166.1698730494827,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.944898,0,78.86209385708797,1.608976686848198,819.1502479144923,1.9474897315543656,481,151.8815959598869,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.963265,0,79.59706099002263,1.538765191339946,828.0454049101473,1.9769171336105942,481,149.92132906615734,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.981633,0,80.32720606286178,1.4702886172252403,836.4221228743036,2.0056162891508076,481,151.7702059429139,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
1.0,0,81.05120026163797,1.4036090532362344,844.2529810977913,2.033493718637158,481,149.86449998803437,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
