Time (hours),I_1 (nM),S_1_free (nM),S_1_total (nM),I_2 (nM),S_2_free (nM),S_2_total (nM),I_3 (nM),S_3_free (nM),S_3_total (nM),I_4 (nM),S_4_free (nM),S_4_total (nM),I_5 (nM),S_5_free (nM),S_5_total (nM)
0.2833333333333333,100.0,,,99.18755170585754,0.31209428297536823,60.745659974897166,99.18907775339243,0.31004322769076803,60.63924752980826,99.19177626814708,0.3089526890732498,60.454122309416384,99.20077260394159,0.3050292372549187,59.8357730846443
0.3,100.0,,,99.10541772344034,0.33041068357601266,66.31399829655271,99.10768091460963,0.3277868550609009,66.15919783206479,99.11066797135234,0.32662570728768314,65.95778674835262,99.12073647759166,0.32237745533445655,65.27745563010167
0.31666666666666665,100.0,,,99.01929001659035,0.3493611864645272,72.04843896385259,99.02246919156663,0.3460739146823923,71.8351308980951,99.0257603519387,0.3448393487063764,71.6171927814796,99.03697882487664,0.3402501367288662,70.8725833596864
0.3333333333333333,100.0,,,98.92905750671954,0.36898319272504937,77.94312845129922,98.93335680171471,0.36493242952510885,77.66026426373973,98.93696802530309,0.3636217673204861,77.42561579427962,98.94941726642517,0.358675013824006,76.61461647736665
0.35,100.0,,,98.83460264943088,0.38931039199004425,83.99187201115247,98.84025380291185,0.38438601555367413,83.62748313767217,98.84420137590794,0.38299676550616535,83.37600654978833,98.8579651941816,0.3776755266166864,82.49671348349926
0.36666666666666664,100.0,,,98.73580264143158,0.41037314294339927,90.1880346535048,98.74306742997734,0.40445426123349937,89.72925276863111,98.74736787797536,0.40298417611338966,89.4609037757483,98.76253306887695,0.3972712125855144,88.51164422054272
0.38333333333333336,100.0,,,98.6325305334158,0.4321987301373239,96.52445926319822,98.64170332962993,0.4251529879426599,95.95754925673559,98.6463733138576,0.4236001268006928,95.67236503377502,98.66302961364619,0.4174779777491349,94.65172082322606
0.4,100.0,,,98.52465627832862,0.45481152480258025,102.99340044894211,98.53606672135362,0.44649442021767866,102.30380724035228,98.54112291739985,0.4448572151427036,102.0019143053381,98.55936293137961,0.4383082778260218,100.90874495712947
0.4166666666666667,100.0,,,98.4120477378222,0.4782330698152762,109.58647323801453,98.42606350483051,0.46848728722061145,108.75888336673647,98.43152246279698,0.46676461562272276,108.4405052015737,98.45144156649542,0.45977123089887684,107.27397021580195
0.43333333333333335,100.0,,,98.29457166479206,0.5024821036425132,116.2946160885029,98.3116013293693,0.4911368714803705,115.31303476921205,98.31747931429896,0.4893281343660783,114.97849901672676,98.33917552661707,0.4818726776495642,113.73807887243179
0.45,100.0,,,98.17209467615376,0.5275745342875129,123.10806792697271,98.19259063675315,0.5144450171826165,121.95591196489394,98.19890344816577,0.5125502237364826,121.60565703649847,98.22247727564562,0.5046152014301095,120.29117238622733
0.4666666666666667,100.0,,,98.04448422713908,0.5535233715620136,130.01635905881705,98.0689456857854,0.5384101076163279,128.67656568310883,98.07570845516948,0.5364299662746466,128.3111466104294,98.1012627065947,0.5279981177353364,126.9227751740112
0.48333333333333334,100.0,,,97.91160959610234,0.5803386241373825,137.0083158601991,97.94058556427447,0.5630270195269799,135.46346715678936,97.94781252944212,0.5609630356079003,135.08356052236607,97.97545210005137,0.5520174407420755,133.62185119489203
0.5,100.0,,,97.77334288693822,0.6080271665663185,144.07207915848025,97.8074351920863,0.5882870608642269,142.30454137348016,97.81513944739481,0.5861416406945422,141.9109491610297,97.84497107206101,0.576665833268282,140.37683287625205
0.5166666666666667,100.0,,,97.62956005458018,0.6365925806871264,151.19513615318812,97.66942631707015,0.6141778975955663,149.18721270230495,97.67761953864972,0.6119544589395126,148.7808649166048,97.70975151347146,0.6019325456334078,147.17566184545475
0.5333333333333333,100.0,,,97.48014195755393,0.6660349754269337,158.36436563075807,97.5264985040307,0.6406834747775052,156.09846219932234,97.53519064933712,0.6383865632221203,155.68041811991128,97.56973252121468,0.6278033483606148,154.00584083427614
0.55,100.0,,,97.32497544011721,0.6963507889415719,165.5660960910972,97.37860011540238,0.6677839368498226,163.02489575581788,97.3877990966395,0.6654193476312245,162.59634370759292,97.42486132057765,0.6542604633706225,160.85449600132932
0.5666666666666667,100.0,,,97.16395444504731,0.7275325772177003,172.78617623945883,97.22568928083138,0.6954555520807035,169.95282210103142,97.2354006120631,0.6930304566443343,169.5150776484487,97.27509417616793,0.681282498212099,167.70844877999525
0.5833333333333334,100.0,,,96.99698115658674,0.7595687936770928,180.01005710991186,97.06773485144927,0.7236706461857932,176.86833951081016,97.0779612695497,0.7211937225613515,176.42284201055602,97.12039728797593,0.7088443879016612,174.5542962132874
0.6,100.0,,,96.82396717137766,0.7924435649270196,187.22288488361042,96.90471733321455,0.7523975503221276,183.75742991449363,96.9154583931895,0.749879116162219,183.30573739377826,96.96074766765831,0.7369173490609747,181.37849858991268
0.6166666666666667,100.0,,,96.64483469337647,0.826136468557094,194.40960325308123,96.73662979229911,0.7816005688704813,190.60605894139476,96.74788143795153,0.779052715754843,190.14984130481653,96.79613398890288,0.765468851195056,188.16747305443815
0.6333333333333333,100.0,,,96.45951774672587,0.8606223197492079,201.55506397010606,96.56347872411656,0.811239972619291,197.40028031257907,96.57523283552425,0.8086766999695293,196.9413109190112,96.62655740449671,0.7944626101120517,194.90769173545937
0.65,100.0,,,96.2679633983711,0.8958709743924462,208.6441440070473,96.38528487625202,0.8412720231007501,204.12634286985207,96.39752879607151,0.8387093697922187,203.66648856101068,96.45203232151756,0.8238586085972713,201.58578282512082
