S2_s2_t50_max,S2_s2_t90_max,center_distance_um_value,I2_initial_nM,I2_final_nM,Th2_initial_nM,Th2_final_nM,S2_initial_nM,S2_final_nM,S2_max_nM,I2_t50_hours,I2_t90_hours,I2_t99_hours,I2_t50_offrange_hours,Th2_t50_hours,Th2_t90_hours,Th2_t99_hours,Th2_t50_offrange_hours,S2_t50_final_hours
4461.847946888981,10555.618291872883,835.4166666666666,99.1044174865191,90.48191973607261,4955.2208743259525,2816.4212720755186,0.0,0.29888376204364464,0.29888376204364464,,,,1.9999178244318014,,,,1.4292268867834887,1.2394022074691613
4409.586575418795,10594.800869295375,895.8333333333333,99.92164552588237,92.21955297462829,4996.082276294115,2985.608556450209,0.0,0.25975932538461816,0.25975932538461816,,,,2.0036425880221276,,,,1.4654049550435906,1.2248851598385542
4386.954578167898,10639.166590553245,956.25,99.99283081612153,93.21557864654359,4999.641540806075,3134.8923735944586,0.0,0.22512943411172784,0.22512943411172784,,,,2.0146342265113764,,,,1.5113885988246292,1.2185984939355272
4379.197203039117,10670.675223186505,1016.6666666666666,99.99930781887227,94.0544930734958,4999.965390943613,3279.2376950098587,0.0,0.19507553828700158,0.19507553828700158,,,,2.0262605170837418,,,,1.5611752558929608,1.2164436675108659
4362.309210681852,10660.723148821362,1077.0833333333333,99.99992964693173,95.18734220596258,4999.996482346585,3519.006670757067,0.0,0.1559949515665917,0.1559949515665917,,,,2.0345841401655855,,,,1.618761322331448,1.2117525585227367
4289.098769868504,10531.957545106572,1137.5,99.78718380676537,95.61837692041365,4989.359190338268,3640.5316695203474,0.0,0.13413600488876273,0.13413600488876273,,,,2.023986878553775,,,,1.6496067482681487,1.1914163249634733
4320.935530967131,10533.596699873317,1197.9166666666663,99.9951401791696,96.28593558426965,4999.757008958479,3752.9822316431755,0.0,0.11824606741686808,0.11824606741686808,,,,2.0372344801745363,,,,1.69494414201698,1.200259869713092
4365.323948783003,10535.313032769674,1258.3333333333333,99.9998900002185,96.6890638770764,4999.994500010924,3847.80460513576,0.0,0.10499045063712639,0.10499045063712639,,,,2.051755334973554,,,,1.740024777509104,1.2125899857730564
4418.807177352274,10536.254573945376,1318.75,99.99999747166436,97.03670810047004,4999.999873583217,3935.235288526459,0.0,0.09357079672436132,0.09357079672436132,,,,2.0673459861557864,,,,1.783555376662068,1.2274464381534096
4480.763321937084,10544.677015732517,1379.1666666666663,99.99999994004848,97.34078315709736,4999.999997002422,4015.7665397540113,0.0,0.08369989056191622,0.08369989056191622,,,,2.0848005264659286,,,,1.8259841381253152,1.2446564783158567
4548.085709586597,10550.749198236444,1439.5833333333333,99.99999999840092,97.60860728980242,4999.9999999200445,4090.151605035437,0.0,0.07510285850252998,0.07510285850252998,,,,2.1016444516359796,,,,1.8694978381016683,1.2633571415518325
4621.188815787986,10569.457559526794,1500.0,99.99999999986869,97.84355570229275,4999.9999999934325,4158.373963079771,0.0,0.06762148215079715,0.06762148215079715,,,,2.1206109332002927,,,,1.9120514764414147,1.2836635599411073
