time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
25200.0,4.2639336656759135e-08,3.6178455665453186e-07,4.415395829115224e-09,5.7326178836393436e-08,4.631941368243084e-06
25800.0,4.262358486276641e-08,3.6160014745188807e-07,4.416970330266414e-09,5.734165211143541e-08,4.631941368243084e-06
26400.0,4.260977824839109e-08,3.614367970232315e-07,4.4183650305429054e-09,5.73552146009986e-08,4.631941368243084e-06
27000.0,4.259765530072303e-08,3.612922752626117e-07,4.419599138002005e-09,5.736712319399274e-08,4.631941368243084e-06
27600.0,4.258699760228517e-08,3.611645342344872e-07,4.420690171780399e-09,5.737759244589634e-08,4.631941368243084e-06
28200.0,4.257762019165591e-08,3.610517131632749e-07,4.421653996027129e-09,5.738680404769326e-08,4.631941368243084e-06
28800.0,4.2569364720999394e-08,3.609521333902634e-07,4.422504900165295e-09,5.739491354735584e-08,4.631941368243084e-06
29400.0,4.256209447887777e-08,3.6086428819231217e-07,4.4232557032185785e-09,5.740205523902738e-08,4.631941368243084e-06
30000.0,4.2555690676640916e-08,3.607868301944079e-07,4.423917868726276e-09,5.740834581096928e-08,4.631941368243084e-06
30600.0,4.2550063434179153e-08,3.6071954387505354e-07,4.424446507582211e-09,5.741336408726756e-08,4.631941368243084e-06
31200.0,4.2544925812778565e-08,3.606680848130338e-07,4.424850430210105e-09,5.741388416342177e-08,4.631941368243084e-06
31800.0,4.25399176910804e-08,3.606256899387785e-07,4.425198789328659e-09,5.741388416342177e-08,4.631941368243084e-06
32400.0,4.253510933609551e-08,3.6058927498118856e-07,4.4255062718177464e-09,5.741388416342177e-08,4.631941368243084e-06
33000.0,4.2530800246080834e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
33600.0,4.2529669019833e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
34200.0,4.2529669019833e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
34800.0,4.2529669019833e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
35400.0,4.2529669019833e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
36000.0,4.2529669019833e-08,3.605856119019646e-07,4.42556375077141e-09,5.741388416342177e-08,4.631941368243084e-06
