value_one,value_two,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,I2_edge_final_nM,S2_free_edge_final_nM,S2_total_edge_final_nM,half_time_center_hr,half_time_edge_hr,n_samples,wall_time_s,n_cells
300.0,6.666666666666666e-05,0,53.04454366091913,5.355564395034184,431.0782672047428,47.22425237020013,6.744585126283403,442.4782924769918,1.4418599067689066,1.0659933832244375,481,195.5103385169059,11012
300.0,9.999999999999999e-05,0,56.778474420985646,4.587374341066827,423.2469494003536,50.27007943266019,5.9529314478362965,436.4875735958261,1.4090432885524014,1.0337243312016176,481,192.67604763247073,11012
300.0,0.0001333333333333333,0,59.78850896561164,4.044464326002459,416.62961769085126,52.71609541687327,5.389466491795566,431.57953203854936,1.3877616814457214,1.0098722131345463,481,188.70282728411257,11012
300.0,0.00016666666666666666,0,62.28677012487012,3.6370785167914055,410.8681986029648,54.74388492356103,4.963612145821233,427.4205809814075,1.3742088644802741,0.9916471613794015,481,179.49130911193788,11012
300.0,0.00019999999999999998,0,64.41613090017985,3.31645594286933,405.71729368304943,56.47348091909985,4.626053476389299,423.791759271904,1.3658657761951831,0.9772805028414344,481,174.14191409759223,11012
300.0,0.00023333333333333328,0,66.27157412403048,3.054675451871932,401.0114308172343,57.98365125513299,4.34849953047075,420.54980708690687,1.3611921511087144,0.9656135845578014,481,169.86512227356434,11012
300.0,0.0002666666666666666,0,67.9169700512686,2.834875856561407,396.63852206600967,59.32685096053167,4.113838761158163,417.5996445509436,1.3590770549352988,0.9559289045232978,481,164.71332100220025,11012
300.0,0.0003,0,69.39628578546242,2.646340087362829,392.5213772181239,60.538915471388975,3.9111798675697096,414.87662782422217,1.3588204078281296,0.9476809370433165,481,158.4713616054505,11012
400.0,0.0,0,46.35129965811482,7.177101195878713,444.7341088970645,0.0,8.618996049178277,8.618996049178277,1.9508590727240183,,481,226.2268435228616,11212
400.0,3.333333333333333e-05,0,53.59259225274051,5.303622564874478,430.2576623307339,0.0,6.699316775832672,6.699316775832672,1.8464757442229074,,481,204.38467413187027,11212
400.0,6.666666666666666e-05,0,59.23645039180734,4.178224193818276,418.11633306199445,0.0,5.535094251238498,5.535094251238498,1.7751557317087732,,481,199.8270242214203,11212
400.0,9.999999999999999e-05,0,63.65362394989918,3.448537550503572,407.7631559358279,0.0,4.772124861349483,4.772124861349483,1.7276944745190408,,481,196.30459500476718,11212
400.0,0.0001333333333333333,0,67.18526476370644,2.940969561826132,398.7180283123943,0.0,4.235303832865802,4.235303832865802,1.6963485342456912,,481,191.96378612704575,11212
400.0,0.00016666666666666666,0,70.08333378684232,2.566227351463423,390.609270228814,0.0,3.83422535646412,3.83422535646412,1.67569610351387,,481,184.3089825734496,11212
400.0,0.00019999999999999998,0,72.52031022432615,2.276056099194204,383.1691586003543,0.0,3.519862381848196,3.519862381848196,1.6621103242453352,,481,177.0350158214569,11212
400.0,0.00023333333333333328,0,74.6121073234595,2.042957807072594,376.2114873970675,0.0,3.264191764322337,3.264191764322337,1.6532322660441252,,481,172.93738906271756,11212
400.0,0.0002666666666666666,0,76.43735143749593,1.8503948148358544,369.6082123989496,0.0,3.050317339947465,3.050317339947465,1.647484500540897,,481,167.9575943108648,11212
400.0,0.0003,0,78.05061246901899,1.6878901083941518,363.2711433375604,0.0,2.8675128342919978,2.8675128342919978,1.64380453242011,,481,161.5322224572301,11212
500.0,0.0,0,50.410437062466855,6.1533208836371776,437.08188663692033,46.08657532383254,7.250434333328621,445.2292051257859,2.381571566296183,1.832089922725138,481,221.122138120234,11396
500.0,3.333333333333333e-05,0,58.7463196029513,4.330618000433293,419.60239231496536,53.21970714569216,5.380960342621337,431.00106412850977,2.243490099186338,1.6987864981813117,481,196.2308596111834,11396
500.0,6.666666666666666e-05,0,65.213697235322,3.2542536638494783,404.22135985988393,58.73061549608234,4.264572613693531,419.21726549618273,2.1449442317336467,1.596504322102214,481,191.28493528813124,11396
500.0,9.999999999999999e-05,0,70.21052123758547,2.570432857327749,390.5127554079093,62.99908634767103,3.545850266343225,409.3267115895632,2.0763208483834417,1.517532747674094,481,190.12413072772324,11396
500.0,0.0001333333333333333,0,74.13038495414189,2.105457454547872,378.0608233276217,66.37376615703647,3.049752740557778,400.84205879562256,2.027848021321819,1.4552554251620031,481,184.79721252433956,11396
500.0,0.00016666666666666666,0,77.27269049683738,1.770403338587392,366.5206840916782,69.11161099588467,2.686341538198976,393.3859889859994,1.992307568267377,1.4047857808964643,481,175.700289811939,11396
500.0,0.00019999999999999998,0,79.84588445496432,1.5174634688812845,355.6350653976504,71.38819290982636,2.40709135914898,386.68775306928393,1.9648092996881499,1.362779702654094,481,168.77270370908082,11396
500.0,0.00023333333333333328,0,81.99188654531837,1.3195198725622388,345.22541844929907,73.32139678752723,2.184394422068675,380.5598306314808,1.942183138108604,1.326984593233814,481,162.12486412376165,11396
500.0,0.0002666666666666666,0,83.80821591313277,1.1603165444965662,335.17444966951444,74.99123140108712,2.0016667600244724,374.8734222803204,1.9223381949488838,1.295871014984068,481,154.5516464523971,11396
500.0,0.0003,0,85.36353141466813,1.0295717257856518,325.4091591911187,76.4533444783198,1.8484082994042736,369.539282047373,1.9039599457077476,1.2684085028857564,481,147.21816451475024,11396
600.0,0.0,0,53.90608752903822,5.396623032132651,430.33032656766056,49.27841051877205,6.421624277598713,439.2318947898007,2.781576051579178,2.1441646041640596,481,218.38025088980794,11402
600.0,3.333333333333333e-05,0,63.11799311819305,3.6302639124684815,409.87145469223066,57.209556954375714,4.601587488245,422.8533354770095,2.610995791513964,1.9676664167134668,481,195.45066917687654,11402
600.0,6.666666666666666e-05,0,70.1754826665279,2.606818289435144,391.0479078893186,63.292439632017135,3.531374200096187,408.8734771265387,2.4811539265038975,1.8259733527161286,481,190.10075101070106,11402
600.0,9.999999999999999e-05,0,75.50978119883364,1.9720680526824188,373.5660356842718,67.93669293560342,2.8550966265408304,396.853794106839,2.384074517848689,1.7130927401997564,481,185.9019961450249,11402
600.0,0.0001333333333333333,0,79.57446050627637,1.552390553812076,357.1386712591808,71.53861399994003,2.397831198554754,386.3598751206374,2.308905608041843,1.622522772074977,481,177.37548783235252,11402
600.0,0.00016666666666666666,0,82.7236507867359,1.259147148593112,341.5315107940534,74.39701565617942,2.0699752216806315,377.0283763821665,2.247270654660187,1.5487453889669114,481,168.4148915167898,11402
600.0,0.00019999999999999998,0,85.20798999586457,1.0448439790859612,326.5822785611145,76.71885225064234,1.823366201659513,368.58423923801536,2.1937263310904416,1.4875943516245784,481,163.43105044402182,11402
600.0,0.00023333333333333328,0,87.20040977751198,0.8826217785999225,312.19702134221154,78.64447672065835,1.630707697691675,360.8294202092508,2.14493818464035,1.436007249995587,481,160.49752820655704,11402
600.0,0.0002666666666666666,0,88.82111150394613,0.7564186635584221,298.3338822279239,80.26992882010761,1.4756639325050347,353.62346964011067,2.09901117584067,1.3918373192568494,481,154.40369466133416,11402
600.0,0.0003,0,90.15542341163538,0.6561027820780707,284.9843279564921,81.66240679812185,1.347934439757762,346.86599732118503,2.054955370923853,1.353505949577057,481,148.9062503799796,11402
700.0,0.0,0,57.47923435510793,4.71906031038872,423.1932647069216,52.593284667067785,5.668347178572279,432.8861433814228,3.2266494075882775,2.508051189250198,481,219.07188924774528,11474
700.0,3.333333333333333e-05,0,67.54498577441669,3.013260011517837,399.0728391891234,61.33440257616635,3.9026137706306128,413.926006058848,3.026435435624791,2.278404434809372,481,191.07006588205695,11474
700.0,6.666666666666666e-05,0,75.09586852555454,2.04872674455654,375.6764982096467,67.9489612516246,2.8843123482354587,397.17442720679,2.856491521377498,2.0826999694904935,481,187.3012962564826,11474
700.0,9.999999999999999e-05,0,80.60657471238592,1.4702447389127042,352.9142391801237,72.88303222758881,2.2567369927253056,382.3833202732301,2.7148504923185945,1.922372627308084,481,183.95946400798857,11474
700.0,0.0001333333333333333,0,84.61709310679741,1.1031847979630502,330.84122584540097,76.59723479876342,1.844375694570893,369.250707568268,2.5929874391593972,1.7934482331046473,481,174.1901225503534,11474
700.0,0.00016666666666666666,0,87.5647183419206,0.8581851453027035,309.5946300077723,79.44954533582008,1.5573374941996043,357.4774296357265,2.4843821003316156,1.6899499923751533,481,166.703670212999,11474
700.0,0.00019999999999999998,0,89.76481354940583,0.6873981821151007,289.3314178979596,81.69174538769754,1.3474497907651417,346.80327253469926,2.3853770645881243,1.6060920928172233,481,163.40665897727013,11474
700.0,0.00023333333333333328,0,91.4356202809918,0.5639240235723472,270.1871497310672,83.49526241222779,1.187600217045846,337.01829913815453,2.29410156203392,1.5371678555167214,481,159.0080839190632,11474
700.0,0.0002666666666666666,0,92.72679410754478,0.4718877492000897,252.25388724854176,84.97659040328963,1.061753046377052,327.959223035475,2.209596147878514,1.479623539569204,481,153.27579332701862,11474
700.0,0.0003,0,93.74146963270933,0.4014918900790475,235.57418561429964,86.21586791552461,0.959965363361006,319.5007287907664,2.13128862857717,1.4308306976419858,481,147.20182316564023,11474
800.0,0.0,0,60.73167746496693,4.171856795012996,416.41298594501217,55.56777329820308,5.069410282512483,427.0400671426366,3.636004441515667,2.84455339313701,481,212.1346276756376,11436
800.0,3.333333333333333e-05,0,71.44269617013182,2.532677043775334,388.449884412017,64.94320708156509,3.3636875966051303,405.5355539818624,3.409211280968525,2.5569444349563835,481,179.38807754591107,11436
800.0,6.666666666666666e-05,0,79.23783244691711,1.6316964654281698,359.9538050324991,71.8935455849068,2.401271281756907,385.9637093409359,3.189414118023811,2.2989860025044413,481,183.75337007641792,11436
800.0,9.999999999999999e-05,0,84.66582096409306,1.11294254275088,331.2188865528789,76.91918338550819,1.8250578530838228,368.3449808535758,2.986213534207389,2.086488628625169,481,178.77664654143155,11436
800.0,0.0001333333333333333,0,88.39310138641326,0.7997564827957009,303.05188294422265,80.56686592578413,1.4584280308853033,352.5875405998992,2.800634596654067,1.919399468162453,481,170.5941647514701,11436
800.0,0.00016666666666666666,0,90.96965893753637,0.6013258190384185,276.3216130658355,83.26928536420618,1.2108834474765775,338.48029934425006,2.6331748724321278,1.7895433430906642,481,161.7240696195513,11436
800.0,0.00019999999999999998,0,92.78505449516346,0.4695547421613714,251.63141396696392,85.32790487202836,1.034447985608843,325.7596016483047,2.4837721906957673,1.6876214161317862,481,159.21166194416583,11436
800.0,0.00023333333333333328,0,94.09634728167816,0.3781760425818054,229.2541550615164,86.941893604717,0.9027166311348268,314.1737057579669,2.3513983309553392,1.6060710346204445,481,154.33753173425794,11436
800.0,0.0002666666666666666,0,95.06867475572383,0.3123321729980505,209.21061509551384,88.24112920301955,0.8005255599490446,303.5126817658938,2.2343591339408597,1.5393739788738405,481,144.57841314002872,11436
800.0,0.0003,0,95.80799523155812,0.2632913715047796,191.3722539025977,89.31111780789598,0.7187624319036843,293.61251322119847,2.1307490762601216,1.4836611203328336,481,138.61792562901974,11436
900.0,0.0,0,63.90098956349918,3.6919585173354426,409.4627556781914,58.44185679726539,4.548685080615978,421.2063352888969,4.038031538035568,3.1835591052586905,481,200.6531514134258,11524
900.0,3.333333333333333e-05,0,75.13759323406995,2.1218876386700054,377.0044105820062,68.36188248459928,2.9049835790538645,396.91024159423415,3.790118111798258,2.8321086809636826,481,175.7346602100879,11524
900.0,6.666666666666666e-05,0,82.98533003089753,1.2887710540921071,342.2312751874315,75.51465605882738,2.001431972498713,374.1589231572033,3.5074782150727146,2.5013922579820203,481,175.8831715863198,11524
900.0,9.999999999999999e-05,0,88.11969166497578,0.8336815801028085,306.3325296729798,80.48495983921607,1.479060420404028,353.3963312442555,3.221618188032876,2.232318877439638,481,173.88943634182215,11524
900.0,0.0001333333333333333,0,91.4012179521522,0.575228530589309,271.6392437446753,83.94366193841887,1.1584510114937578,334.8368884306724,2.9565936315349943,2.0284940548600563,481,160.23140294477344,11524
900.0,0.00016666666666666666,0,93.52230615991348,0.4205778336428659,240.06080144114887,86.41557214976524,0.9482823996217672,318.3396132229424,2.724791429897876,1.8758344598627068,481,152.37335473112762,11524
900.0,0.00019999999999999998,0,94.93710401253848,0.3225095578177842,212.41029771905175,88.24826539932555,0.8015957659088464,303.58424021707145,2.527756588300422,1.759328894730971,481,146.9733336120844,11524
900.0,0.00023333333333333328,0,95.9177068397488,0.256783161657353,188.6720590301867,89.65732546351359,0.6936009141646149,290.2419213149431,2.36159981891977,1.6678334215385202,481,141.13591360673308,11524
900.0,0.0002666666666666666,0,96.6234402966422,0.2105489485696688,168.44073794009964,90.77549707326229,0.6106128907707388,278.04248476092664,2.2210573372285567,1.593918778131747,481,137.5642547700554,11524
900.0,0.0003,0,97.14880504885788,0.1766782041050252,151.2024747187635,91.68632435134428,0.5446625628603704,266.78104408744207,2.1012509866074915,1.5326433285236258,481,125.5085777938366,11524
1000.0,0.0,0,66.95610492074395,3.2714870597358723,402.3467914674357,0.0,4.25789127788743,4.25789127788743,4.412995459577617,,481,181.9167769625783,11544
1000.0,3.333333333333333e-05,0,78.54416174934909,1.775551436005829,364.751192514802,0.0,2.66684691088075,2.66684691088075,4.144146773158403,,481,171.51927186734974,11544
1000.0,6.666666666666666e-05,0,86.21525038962973,1.0152384308855404,322.66872740406825,0.0,1.81229130438896,1.81229130438896,3.7830127220616445,,481,170.7883702274412,11544
1000.0,9.999999999999999e-05,0,90.86771861108676,0.6253755188836779,279.20099021492763,0.0,1.331918521797689,1.331918521797689,3.3992869932692598,,481,166.71959708072245,11544
1000.0,0.0001333333333333333,0,93.62301936474609,0.4179487757131451,238.96959954373943,0.0,1.0432185219902463,1.0432185219902463,3.053232749000522,,481,153.24688954278827,11544
1000.0,0.00016666666666666666,0,95.3004563155836,0.3000196404764537,204.5416185561934,0.0,0.8556949325773863,0.8556949325773863,2.7660356860936206,,481,146.55794304795563,11544
1000.0,0.00019999999999999998,0,96.37436338581644,0.2277589745346737,176.17329181620403,0.0,0.7249121110656753,0.7249121110656753,2.533982475315034,,481,140.24449923075736,11544
1000.0,0.00023333333333333328,0,97.09925125094335,0.1803522696904142,153.06168017341713,0.0,0.6283160666988111,0.6283160666988111,2.346332427913891,,481,128.682223347947,11544
1000.0,0.0002666666666666666,0,97.61229308857912,0.1474297211337575,134.1934323488912,0.0,0.5537519708057176,0.5537519708057176,2.192829755850223,,481,123.67957664653659,11544
1000.0,0.0003,0,97.99021960087076,0.1234910967458912,118.666435234398,0.0,0.4942240414760148,0.4942240414760148,2.06542724631088,,481,119.74237761646509,11544
