time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I2_avg_nM,S2_free_avg_nM,S2_total_avg_nM,Th2_avg_nM
1.8666666666666667,98.7364498792412,0.1859365687711678,593.6169864932367,62.06250397694767,4.764583708166981,4016.4007305447685,1027.373861861463
1.8833333333333333,98.64284402079655,0.19940852839995227,634.5812226024415,61.45445119318538,4.84234415393018,4044.471362236221,1000.0099675279912
1.9,98.54264047058129,0.21381905762565764,677.9943309665127,60.849417873031356,4.920154172203151,4072.067749601781,973.1174870888331
1.9166666666666667,98.43540146858875,0.22923074725453826,723.958360915381,60.247495650583716,4.99801968703022,4099.1934391273935,946.6927939650423
1.9333333333333333,98.32066298572273,0.24571002318008883,772.5736711635964,59.64876547927128,5.075948002004768,4125.851982308635,920.7322690863723
1.95,98.19793352640471,0.2633273476150517,823.9378869625515,59.05329798745552,5.153947650456981,4152.0469291545605,895.2323068618374
1.9666666666666666,98.06669292002556,0.2821574362501516,878.1447289815087,58.461153864742016,5.232028277693254,4177.781822842822,870.1893200251395
1.9833333333333334,97.926391103035,0.3022794932465537,935.2827116102749,57.872384256365386,5.310200570603871,4203.060195225156,845.5997436980392
2.0,97.77644689403648,0.3237774655009454,995.4337103072988,57.28703114191648,5.388476246911094,4227.885562827193,821.4600390664766
2.0166666666666666,97.61624676525805,0.34674031714230535,1058.6713998702357,56.70512767518363,5.46686811258811,4252.2614229547835,797.7666970900605
2.033333333333333,97.44514361515544,0.37126232482702215,1125.0595681705474,56.12669846384205,5.545390191916227,4276.191249511916,774.51624266533
2.05,97.26245554856737,0.3974433941938264,1194.650313075854,55.55175977088737,5.624057930658594,4299.678488150992,751.7052396391016
2.066666666666667,97.06746467264081,0.42538939790751207,1267.482134093708,54.980319623721364,5.702888469287424,4322.726550411631,729.3302970244206
2.0833333333333335,96.85941591849479,0.45521253611775075,1343.5779348042345,54.412377821253884,5.781900980425365,4345.338806554465,707.3880767138014
2.1,96.63751590012662,0.48703172090339725,1422.9429574673009,53.8479258338722,5.86111706287396,4367.518576855388,685.8753029191513
2.1166666666666667,96.40093182323048,0.5209729873339509,1505.5626772966734,53.28694659526013,5.940561183922037,4389.269121187309,664.7887735018783
2.1333333333333333,96.14879045730478,0.5571699350805319,1591.4006907173753,52.72941418850551,6.020261162056817,4410.593626774255,644.1253732966978
2.15,95.88017718466219,0.5957642059262971,1680.3966393020755,52.175293431494445,6.100248683632292,4431.495194051243,623.8820894840301
2.1666666666666665,95.59413513981005,0.6369060038997937,1772.4642187597517,51.624539368139985,6.180559849282473,4451.976820598348,604.0560290327534
2.183333333333333,95.28966445235189,0.680754665890031,1867.4893299704895,51.07709667254606,6.2612357486210755,4472.041383136217,584.6444382197042
2.2,94.96572160640153,0.7274792912736685,1965.328436181402,50.53289897289686,6.342323064714468,4491.691617571704,565.644724235048
2.216666666666667,94.62121892998266,0.777259439027198,2065.8071965844765,49.99186810093362,6.423874712580516,4510.930097067588,547.054478901759
2.2333333333333334,94.25502422964152,0.8302858996871556,2168.7194510203462,49.453913271686815,6.505950518170945,4529.759208081959,528.8715045692209
2.25,93.86596058936513,0.8867615469399762,2273.826632899578,48.91893019710673,6.588617945538171,4548.181124285588,511.093842279701
2.2666666666666666,93.45280635994851,0.9469022690032199,2380.8576870169386,48.3868001368951,6.671952879764904,4566.197778225816,493.71980234467736
2.283333333333333,93.01429537660178,1.0109379725134757,2489.509565205273,47.85738889076264,6.756040471314745,4583.810830570996,476.7479974963254
2.3,92.54911746066043,1.0791136402668886,2599.4483652637764,47.33054573917181,6.8409760432619136,4601.021636750295,460.17737878668373
2.316666666666667,92.0559192881517,1.151690407369453,2710.3111669547343,46.80610234508776,6.9268660558144655,4617.831210811175,444.0072743796622
2.3333333333333335,91.53330574672748,1.2289465961639061,2821.708602925508,46.28387163816883,7.013829111947965,4634.240186365124,428.23743130296805
2.35,90.9798419569211,1.311178616202997,2933.228182250495,45.76364671609737,7.101996972924993,4650.2487745983735,412.86806007863055
2.3666666666666667,90.39405620836537,1.3987015885543301,3044.438360279322,45.245199816432,7.19151553186688,4665.856719509122,397.89988190820003
2.3833333333333333,89.77444416159129,1.49184949061547,3154.8933213728956,44.72828143761335,7.282545666018344,4681.063250821946,383.3341777228084
2.4,89.11947479629633,1.5909745354103244,3264.1384120820835,44.21261972079027,7.37526385242028,4695.867035454817,369.1728378846731
2.4166666666666665,88.42759875130515,1.6964453962637436,3371.7161329913965,43.697920246058125,7.4698623859933875,4710.2661290107235,355.4184106063787
2.433333333333333,87.69725990041447,1.8086437648848244,3477.172569834017,43.183866448175955,7.566548982750759,4724.257929574213,342.0741461975324
2.45,86.92691123618293,1.9279585946560094,3580.0641208881893,42.67012091750851,7.665545484678339,4737.839137150585,329.14403302205176
2.466666666666667,86.1150363740076,2.054777246654806,3679.964360436315,42.15632791955273,7.767085310256534,4751.005723417251,316.6328195411898
2.4833333333333334,85.26017820848664,2.1894726523447963,3776.4708692268637,41.642117535471556,7.871409223939181,4763.752918056639,304.5460150591284
2.5,84.36097639707486,2.332385580721455,3869.21186360984,41.12711188622928,7.9787589446320855,4776.075219743017,292.88985988840034
2.5166666666666666,83.41621532796638,2.4838012167416914,3957.8524650638788,40.61093393726529,8.089368102371823,4787.966441699078,281.6712538396567
2.533333333333333,82.42488393635097,2.6439196084923005,4042.1004689157244,40.09321936443796,8.203450119754024,4799.419803318739,270.8976306051818
2.55,81.38624803214365,2.8128202146587693,4121.711490511549,39.57363186321949,8.321182784538717,4810.428080188423,260.57676532863707
2.566666666666667,80.29993456598663,2.990421848735313,4196.493382129493,39.0518820664254,8.44268963680426,4820.983824265597,250.71650418519715
2.5833333333333335,79.16602541752319,3.1764407643676114,4266.3098168185115,38.5277498713519,8.568018845469267,4831.079663206169,241.32440894964287
2.6,77.98515589579411,3.370351310228541,4331.082920091653,38.00110945593555,8.697120978785994,4840.708682139902,232.4073169510112
2.6166666666666667,76.75861045347179,3.571355162493079,4390.7947964514715,37.471955615981386,8.829827891895134,4849.864882195386,223.9708276275862
2.6333333333333333,75.48840563877006,3.77836608519316,4445.487753944191,36.940429368441706,8.965835680208022,4858.543698129296,216.01874031387564
2.65,74.1773487548234,3.990016854164646,4495.262996445919,36.406840185369724,9.104695021907462,4866.742543946049,208.55248193272757
2.6666666666666665,72.82906082841555,4.204692935814939,4540.277558585426,35.87168193292437,9.245811987904764,4874.46134297116,201.570574861547
2.683333333333333,71.44795484486984,4.420593710593371,4580.739329477037,35.33563975847718,9.388461369075992,4881.702990761131,195.0682008734612
2.7,70.03916479714633,4.63581710703174,4616.9001613507435,34.799585881265344,9.53181281809184,4888.473698588159,189.0369138841894
2.716666666666667,68.60842724791992,4.848458707929423,4649.047273502357,34.264563441389605,9.674967963080233,4894.783173724327,183.46454133279158
2.7333333333333334,67.16192354642044,5.056713159156337,4677.493397452341,33.73175903879133,9.8170046643863,4900.644609737778,178.33529309087203
2.75,65.70609609938386,5.258965118295008,4702.566305260307,33.2024660381686,9.957023310345392,4906.074482426853,173.6300719085701
2.7666666666666666,64.24745498752632,5.453859216262978,4724.59846402632,32.67804181615716,10.094189832237653,4911.092170196439,169.32695578569545
2.783333333333333,62.800160443704875,5.639369739854362,4743.542635421106,32.162773326977174,10.226873598499708,4915.579069544354,165.50838339953867
2.8,61.36286198136566,5.813191647023967,4760.15611982079,31.655229616940712,10.353769989104228,4919.725387647786,162.01552100890788
2.816666666666667,59.941015938694676,5.977703096866739,4774.731285887979,31.156614493479385,10.476151006291364,4923.55294640582,158.82785936307008
2.8333333333333335,58.53955444687757,6.132987241066855,4787.532991515224,30.668030095641218,10.59388133502651,4927.083458596473,155.92252368718042
2.85,57.16286039529835,6.279137871699241,4798.799364226747,30.190470501201784,10.706780597653575,4930.339016130178,153.27619784902802
2.8666666666666667,55.81473947394138,6.4163938841381345,4808.741702525576,29.724807157811483,10.81475514062789,4933.3415342203025,150.86593716366727
2.8833333333333333,54.49970848355726,6.530281961823524,4817.7909243784,29.27254655171027,10.907405873167052,4936.226339560451,148.69682474882686
2.9,53.22055374684342,6.649439920242236,4825.794655977718,28.834152488773807,11.003853957183422,4938.874918020628,146.73558601490888
2.9166666666666665,51.97838181076252,6.761325064598749,4832.936645732864,28.409640591819485,11.096103715569596,4941.325660433728,144.94308454416097
2.933333333333333,50.77466121632059,6.866311045982614,4839.342074643602,27.999272447286067,11.18406610970638,4943.597609822228,143.30092623353994
2.95,49.61043963739768,6.964912545225845,4845.115935949143,27.603211231564938,11.267888922699772,4945.707620986071,141.79306153587083
2.966666666666667,48.48637578492913,7.057642415374413,4850.346606493366,27.221519672037267,11.347772871735874,4947.670982656482,140.4051130878005
2.9833333333333334,47.402785378624905,7.144992737076613,4855.10843495089,26.854168380899285,11.423939274028438,4949.50156197055,139.12419765507
3.0,46.35968697233834,7.227426405799165,4859.463951985294,26.501046222244607,11.49661629702368,4951.21189097785,137.9388108910332
3.0166666666666666,45.35684526257481,7.3053729170727415,4863.4657738849455,26.161971134569292,11.566030808219368,4952.813251021487,136.83871958804696
3.033333333333333,44.393810972878704,7.3792266622694775,4867.158229791429,25.836700757284035,11.632403043846255,4954.3157632062375,135.81485294126605
3.05,43.469956943886366,7.449346894876283,4870.578740045568,25.524942508470946,11.695943124764902,4955.728483363317,134.85919373924912
3.066666666666667,42.58451035021414,7.516058813695936,4873.758974486338,25.226362912311618,11.756848907359359,4957.059498205733,133.96467202858352
3.0833333333333335,41.73658114360628,7.579655363632504,4876.725819702873,24.940596070207363,11.815304822104284,4958.316019665445,133.12506354841344
3.1,40.925186930711334,7.640399461473083,4879.502182918461,24.66725123489448,11.87148143758631,4959.504475149809,132.33489457411628
3.1166666666666667,40.15660958680428,7.69289425020712,4881.831156701151,24.409145015428912,11.92059169974966,4960.534271318307,131.6966805904082
3.1333333333333333,39.42290993865566,7.743191505709474,4884.0479825059065,24.162896992361684,11.968516127017308,4961.530480278041,131.07620548268653
3.15,38.722669555084465,7.792102287579246,4886.165504188369,23.92794281447297,12.015236700956285,4962.492962456251,130.47451352557755
