time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
15000.0,9.38211454755644e-08,3.207207780483213e-06,2.194557847080988e-10,6.108374965709432e-09,1.7900066570040875e-06
15600.0,9.373038723156706e-08,3.1956009642606596e-06,2.2046979225731567e-10,6.197528447042724e-09,1.8014082446490304e-06
16200.0,9.365120492497571e-08,3.1857731741358674e-06,2.2131005371188658e-10,6.275310673556776e-09,1.8110622624533443e-06
16800.0,9.358232779576312e-08,3.1774593522679995e-06,2.2200553637365245e-10,6.342969936044533e-09,1.8192290815769845e-06
17400.0,9.352257705953425e-08,3.1704320132708326e-06,2.2258066397523136e-10,6.401664175954996e-09,1.826132165071254e-06
18000.0,9.347088005783616e-08,3.1644987812147877e-06,2.2305569598469607e-10,6.452447085285083e-09,1.8319604873267005e-06
18600.0,9.342627390323136e-08,3.159497814632146e-06,2.234472881272507e-10,6.4962645259577216e-09,1.836873028174088e-06
19200.0,9.338783585767337e-08,3.155277088494118e-06,2.2377078837677693e-10,6.534022920415445e-09,1.8410191245768645e-06
19800.0,9.335477501926514e-08,3.151716890014946e-06,2.240379668720648e-10,6.566499186042381e-09,1.8445163725917673e-06
20400.0,9.332638800383448e-08,3.148715382095501e-06,2.2425858834873066e-10,6.5943842699624244e-09,1.8474648086619481e-06
21000.0,9.330209008168767e-08,3.146196569563723e-06,2.2443242200663728e-10,6.618252562837472e-09,1.8499390842334389e-06
21600.0,9.328135256529937e-08,3.1440900238777388e-06,2.245731121436193e-10,6.638623404083299e-09,1.8520083825497283e-06
22200.0,9.326365640255503e-08,3.1423221685926053e-06,2.2469045637071173e-10,6.656006668075714e-09,1.8537449790970104e-06
22800.0,9.324856703655701e-08,3.140836847883374e-06,2.2477012079319456e-10,6.6708292279951585e-09,1.8552040367681603e-06
23400.0,9.323574682281219e-08,3.139597929151352e-06,2.2484322335702752e-10,6.683422758196316e-09,1.856421049275057e-06
24000.0,9.322483454543891e-08,3.1385553136636278e-06,2.2492450306628654e-10,6.694142087639564e-09,1.8574452295184005e-06
24600.0,9.321557864654358e-08,3.1376848198166458e-06,2.2496813896728324e-10,6.7032343262400144e-09,1.8583003315291877e-06
25200.0,9.321557864654358e-08,3.136956232816283e-06,2.2500983862753706e-10,6.711017164544874e-09,1.859016035851742e-06
25800.0,9.321557864654358e-08,3.136345639676396e-06,2.250516168670539e-10,6.717726568471945e-09,1.8596158326492736e-06
26400.0,9.321557864654358e-08,3.135837350571538e-06,2.250711026981857e-10,6.723491787779842e-09,1.8601151343239855e-06
27000.0,9.321557864654358e-08,3.1354074468216353e-06,2.2511059776330163e-10,6.728462360434142e-09,1.860537436632337e-06
27600.0,9.321557864654358e-08,3.135048431029064e-06,2.2512943411172783e-10,6.732727612296483e-09,1.8608901044049996e-06
28200.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.736359933215842e-09,1.8611810390197606e-06
28800.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.739398763402703e-09,1.8614220779647168e-06
29400.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.741941074258374e-09,1.8616237331704113e-06
30000.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.744067992871599e-09,1.8616237331704113e-06
30600.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.745847390846161e-09,1.8616237331704113e-06
31200.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.747336050135793e-09,1.8616237331704113e-06
31800.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.748581474999872e-09,1.8616237331704113e-06
32400.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7496234079007486e-09,1.8616237331704113e-06
33000.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.750495097716203e-09,1.8616237331704113e-06
33600.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7508024977400825e-09,1.8616237331704113e-06
34200.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7508024977400825e-09,1.8616237331704113e-06
34800.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7508024977400825e-09,1.8616237331704113e-06
35400.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7508024977400825e-09,1.8616237331704113e-06
36000.0,9.321557864654358e-08,3.1348923735944587e-06,2.2512943411172783e-10,6.7508024977400825e-09,1.8616237331704113e-06
