x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
4753.312222884977,20.0,0.1408386586517565,0.0,0.0
4756.31390260612,20.0,0.14097363056321097,0.0,0.0
4759.315582327261,20.0,0.1411037948660556,0.0,0.0
4762.317262048404,20.0,0.14122911516618208,0.0,0.0
4765.318941769545,20.0,0.14134955607472488,0.0,0.0
4768.320621490688,20.0,0.14146508323409743,0.0,0.0
4771.322301211829,20.0,0.1415756633435476,0.0,0.0
4774.323980932972,20.0,0.14168126418419996,0.0,0.0
4777.325660654113,20.0,0.14178185464354698,0.0,0.0
4780.3273403752555,20.0,0.14187740473935695,0.0,0.0
4783.329020096397,20.0,0.1419678856429626,0.0,0.0
4786.330699817539,20.0,0.14205326970189794,0.0,0.0
4789.3323795386805,20.0,0.14213353046184926,0.0,0.0
4792.334059259823,20.0,0.14220864268788824,0.0,0.0
4795.335738980964,20.0,0.14227858238495517,0.0,0.0
4798.337418702107,20.0,0.14234332681756173,0.0,0.0
4801.339098423248,20.0,0.14240285452868237,0.0,0.0
4804.340778144391,20.0,0.14245714535780626,0.0,0.0
4807.342457865532,20.0,0.1425061804581208,0.0,0.0
4810.344137586675,20.0,0.14254994231280038,0.0,0.0
4813.345817307816,20.0,0.14258841475037398,0.0,0.0
4816.347497028959,20.0,0.1426215829591481,0.0,0.0
4819.3491767501,20.0,0.14264943350066006,0.0,0.0
4822.350856471243,20.0,0.14267195432214216,0.0,0.0
4825.352536192384,20.0,0.14268913476797376,0.0,0.0
4828.354215913527,20.0,0.14270096559010437,0.0,0.0
4831.355895634668,20.0,0.14270743895742932,0.0,0.0
4834.357575355811,20.0,0.14270854846410239,0.0,0.0
4837.359255076952,20.0,0.14270428913677116,0.0,0.0
4840.360934798095,20.0,0.14269465744072293,0.0,0.0
4843.362614519236,20.0,0.14267965128492993,0.0,0.0
4846.3642942403785,20.0,0.14265927002598494,0.0,0.0
4849.36597396152,20.0,0.14263351447092,0.0,0.0
4852.367653682662,20.0,0.1426023868789024,0.0,0.0
4855.3693334038035,20.0,0.14256589096180486,0.0,0.0
4858.371013124946,20.0,0.14252403188364693,0.0,0.0
4861.372692846087,20.0,0.1424768162589082,0.0,0.0
4864.37437256723,20.0,0.14242425214971458,0.0,0.0
4867.376052288371,20.0,0.14236634906190127,0.0,0.0
4870.377732009514,20.0,0.14230311793995742,0.0,0.0
4873.379411730655,20.0,0.14223457116085983,0.0,0.0
4876.381091451798,20.0,0.14216072252680348,0.0,0.0
4879.382771172939,20.0,0.14208158725684086,0.0,0.0
4882.384450894082,20.0,0.14199718197744057,0.0,0.0
4885.386130615223,20.0,0.14190752471198043,0.0,0.0
4888.387810336366,20.0,0.14181263486918924,0.0,0.0
4891.389490057507,20.0,0.14171253323055538,0.0,0.0
4894.39116977865,20.0,0.14160724193671947,0.0,0.0
4897.392849499791,20.0,0.14149678447287276,0.0,0.0
4900.394529220934,20.0,0.1413811856531803,0.0,0.0
4903.396208942075,20.0,0.14126047160425462,0.0,0.0
4906.397888663218,20.0,0.1411346697477008,0.0,0.0
4909.399568384359,20.0,0.14100380878176133,0.0,0.0
4912.4012481055015,20.0,0.14086791866208442,0.0,0.0
4915.402927826643,20.0,0.14072703058164593,0.0,0.0
4918.404607547785,20.0,0.14058117694985103,0.0,0.0
4921.4062872689265,20.0,0.1404303913708476,0.0,0.0
4924.407966990069,20.0,0.14027470862107952,0.0,0.0
4927.40964671121,20.0,0.14011416462611345,0.0,0.0
4930.411326432353,20.0,0.13994879643676852,0.0,0.0
4933.413006153494,20.0,0.13977864220458422,0.0,0.0
4936.414685874637,20.0,0.13960374115665725,0.0,0.0
4939.416365595778,20.0,0.1394241335698834,0.0,0.0
4942.418045316921,20.0,0.1392398607446365,0.0,0.0
4945.419725038062,20.0,0.13905096497792074,0.0,0.0
4948.421404759205,20.0,0.13885748953602925,0.0,0.0
4951.423084480346,20.0,0.13865947862674646,0.0,0.0
4954.424764201489,20.0,0.13845697737112617,0.0,0.0
4957.42644392263,20.0,0.1382500317748837,0.0,0.0
4960.428123643773,20.0,0.1380386886994344,0.0,0.0
4963.429803364914,20.0,0.13782299583261629,0.0,0.0
4966.431483086057,20.0,0.13760300165912873,0.0,0.0
4969.433162807198,20.0,0.13737875543072525,0.0,0.0
4972.434842528341,20.0,0.13715030713619109,0.0,0.0
4975.436522249482,20.0,0.13691770747114373,0.0,0.0
4978.4382019706245,20.0,0.13668100780768563,0.0,0.0
4981.439881691766,20.0,0.13644026016394695,0.0,0.0
4984.441561412908,20.0,0.13619551717354653,0.0,0.0
4987.4432411340495,20.0,0.13594683205500777,0.0,0.0
4990.444920855192,20.0,0.13569425858115639,0.0,0.0
4993.446600576333,20.0,0.13543785104853565,0.0,0.0
4996.448280297476,20.0,0.1351776642468648,0.0,0.0
4999.449960018617,20.0,0.1349137534285752,0.0,0.0
