time_hr,I2_uM,S2_free_uM,S2_total_uM
2.6944444444444446,0.08999838046511609,0.0005175823946126345,2.8963508574308037
2.7222222222222223,0.08983258680117294,0.0005239617959394427,2.9191061759539867
2.75,0.08966691533890163,0.0005303099508973261,2.9413530372685246
2.7777777777777777,0.08950141103699744,0.0005366246648131944,2.9630983973603753
2.8055555555555554,0.08933611902647712,0.0005429037611811206,2.9843493433631467
2.8333333333333335,0.08917108456167196,0.0005491450863605665,3.0051130779985415
2.861111111111111,0.08900635296918394,0.0005553465141750351,3.0253969048226175
2.888888888888889,0.08884196959505657,0.0005615059503947084,3.0452082142429
2.9166666666666665,0.08867797975040714,0.000567621337087084,3.0645544702727983
2.9444444444444446,0.08851442865577912,0.0005736906568203515,3.083443197991261
2.9722222222222223,0.08835136138447124,0.000579711936704943,3.101881971676853
3.0,0.08818882280509681,0.0005856832522596047,3.119878403587052
3.0277777777777777,0.0880268575236332,0.0005916027310892318,3.1374401333544593
3.0555555555555554,0.08786550982521364,0.0005974685563628079,3.154574817973256
3.0833333333333335,0.08770482361591218,0.0006032789700808229,3.171290122350282
3.111111111111111,0.0875448423647682,0.0006090322761227953,3.187593710396241
3.138888888888889,0.08738560904629024,0.000614726843066688,3.2034932366337676
3.1666666666666665,0.0872271660836737,0.000620361106773295,3.218996338300118
3.1944444444444446,0.08706955529295642,0.0006259335727299855,3.23411062792322
3.2222222222222223,0.08691281782832969,0.0006314428181494939,3.2488436863508587
3.25,0.08675699412880919,0.0006368874938207538,3.2632030562137273
3.2777777777777777,0.08660212386646386,0.0006422663257101071,3.2771962358037654
3.3055555555555554,0.08644824589638382,0.0006475781163125207,3.2908306733503236
3.3333333333333335,0.08629539820855965,0.0006528217457536862,3.304113761677162
3.361111111111111,0.08614361788183073,0.0006579961726451406,3.317052833224371
3.388888888888889,0.0859929410400483,0.0006631004346957422,3.3296551554195832
3.4166666666666665,0.08584340281058275,0.0006681336490839022,3.3419279263839226
3.4444444444444446,0.0856950372852902,0.0006730950125961376,3.3538782709584214
3.4722222222222223,0.08554787748404269,0.0006779838015384263,3.3655132370373977
3.5,0.0854019553209093,0.0006827993714278137,3.3768397921957503
3.5277777777777777,0.08525730157305747,0.0006875411564725453,3.387864820597664
3.5555555555555554,0.08511394585243447,0.0006922086688497551,3.3985951201746154
3.5833333333333335,0.08497191658027578,0.0006968014977904176,3.4090374000611527
3.611111111111111,0.0848312409644652,0.000701319308481862,3.419198278277198
3.638888888888889,0.08469194497976489,0.0007057618407985898,3.429084279646137
3.6666666666666665,0.08455405335091927,0.0007101289078726244,3.4387018339381386
3.6944444444444446,0.0844175895386217,0.0007144203945148291,3.4480572742287774
3.7222222222222223,0.08428257572832173,0.0007186362554989658,3.4571568354631075
3.75,0.08414903282183946,0.0007227765137203063,3.4660066532157523
3.7777777777777777,0.08401698043174308,0.0007268412582407631,3.4746127626378245
3.8055555555555554,0.08388643687843435,0.0007308306422324129,3.482981097581947
3.8333333333333335,0.0837574191898785,0.0007347448808312459,3.491117489896515
3.861111111111111,0.08362994310390387,0.0007385842489128329,3.4990276688811495
3.888888888888889,0.08350402307299389,0.0007423490788013187,3.5067172608949866
3.9166666666666665,0.08337967227148038,0.0007460397579229374,3.5141917891100753
3.9444444444444446,0.08325690260504581,0.0007496567264149096,3.5214566734022554
3.9722222222222223,0.08313572472243551,0.0007532004747001866,3.5285172303720325
4.0,0.08301614802927283,0.000756671541038113,3.5353786734883443
4.027777777777778,0.08289818070387206,0.0007600705090606276,3.5420461133481855
4.055555555555555,0.0827818297149359,0.0007633980053031712,3.548524558045412
4.083333333333333,0.08266710084102293,0.0007666546967389151,3.5548189136420154
4.111111111111111,0.08255399869167104,0.0007698412883244725,3.560933984735772
4.138888888888889,0.08244252673005908,0.0007729585205647058,3.5668744751178414
4.166666666666667,0.08233268729708805,0.0007760071671036663,3.5726449885146128
4.194444444444445,0.08222448163676681,0.000778988032348214,3.578250029407802
4.222222222222222,0.0821179099227826,0.0007819019491303103,3.5836940039275333
4.25,0.08201297128614547,0.0007847497764134169,3.588981220812775
4.277777777777778,0.08190966384378721,0.0007875323970479209,3.594115892434127
4.305555555555555,0.08180798472800704,0.00079025071557999,3.599102135873941
4.333333333333333,0.08170793011665306,0.0007929056561177501,3.6039439740589163
4.361111111111111,0.08160949526393436,0.0007954981602581698,3.608645336940712
4.388888888888889,0.08151267453175744,0.000798029185077605,3.613210062719983
4.416666666666667,0.08141746142149155,0.0008004997011884546,3.6176418991097083
4.444444444444445,0.08132384860606245,0.0008029106908639681,3.621944504633721
4.472222222222222,0.08123182796228512,0.000805263146232836,3.62612144995658
4.5,0.08114139060334617,0.0008075580675447994,3.6301762192410143
4.527777777777778,0.0810525269113511,0.0008097964615081517,3.6341122115294615
4.555555555555555,0.08096522656985804,0.0008119793396996563,3.637932742146309
4.583333333333333,0.08087947859632015,0.0008141077170470832,3.64164104411762
4.611111111111111,0.08079527137436872,0.0008161826103843066,3.645240269605322
4.638888888888889,0.08071259268586785,0.0008182050370785658,3.6487334913529503
4.666666666666667,0.0806314297426779,0.0008201760137293406,3.6521237041402714
4.694444444444445,0.08055176921807114,0.0008220965549379494,3.6554138262441116
4.722222222222222,0.08047359727774617,0.0008239676721468885,3.6586067009030305
4.75,0.08039689961038952,0.0008257903725476686,3.6617050977835794
