time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
4080.0,4.7362599680028775e-08,9.241220935791168e-08,6.079662277753837e-09,3.050173022548654e-08,1.464590392995946e-06
4140.0,4.622319506926319e-08,8.690989105312435e-08,6.29708522321614e-09,3.1641097434281766e-08,1.470090497110155e-06
4200.0,4.508812978019584e-08,8.214011157435872e-08,6.507398030203831e-09,3.277612943353987e-08,1.474859787442635e-06
4260.0,4.396186669428182e-08,7.801016147029807e-08,6.710868822875516e-09,3.3902363070713296e-08,1.4789893196588742e-06
4320.0,4.2848463319178545e-08,7.44337490503399e-08,6.906882564098226e-09,3.501574049099072e-08,1.48256537431721e-06
4380.0,4.1751558875547624e-08,7.133165109591212e-08,7.0954005147612716e-09,3.6112622094553526e-08,1.4856671648214777e-06
4440.0,4.067433111956161e-08,6.863271049525372e-08,7.276613719659939e-09,3.71898297432147e-08,1.4883658398242502e-06
4500.0,3.961948664677171e-08,6.627427549653613e-08,7.450859882281725e-09,3.824465647740362e-08,1.4907112158207907e-06
4560.0,3.8589271963529636e-08,6.420194957941135e-08,7.618569989414104e-09,3.927485545630316e-08,1.4927721058601696e-06
4620.0,3.758550177547934e-08,6.236954218935021e-08,7.780212452201753e-09,4.027861167855467e-08,1.4945944215482148e-06
4680.0,3.660959492825674e-08,6.073811567629422e-08,7.936263718842217e-09,4.1254506041437225e-08,1.4962168717727959e-06
4740.0,3.5662614628871905e-08,5.927517113915604e-08,8.087184904602786e-09,4.220147511819311e-08,1.4976717688798916e-06
4800.0,3.474530971279607e-08,5.795379716280985e-08,8.233406717109055e-09,4.311876988787166e-08,1.4989858727304539e-06
4860.0,3.3858154712074666e-08,5.675184237475146e-08,8.375321135892408e-09,4.4005915663282483e-08,1.5001812118569256e-06
4920.0,3.3001387339567905e-08,5.565114973178056e-08,8.513278084204406e-09,4.4862674602570283e-08,1.5012758438212275e-06
4980.0,3.217534912538473e-08,5.4636872800574494e-08,8.647585536610217e-09,4.56885810913836e-08,1.5022845344513718e-06
5040.0,3.1379550158865214e-08,5.369688391672531e-08,8.778510764109037e-09,4.648425751085045e-08,1.5032193459826563e-06
5100.0,3.0613714272685946e-08,5.282126378527175e-08,8.906286837332091e-09,4.7249978973078606e-08,1.5040901444248721e-06
5160.0,2.9877443042055685e-08,5.20018817947986e-08,9.031114022084524e-09,4.798614302025644e-08,1.5049050168022962e-06
5220.0,2.9170236533310845e-08,5.123204798533456e-08,9.153164648503316e-09,4.8693248844596726e-08,1.5056706172177553e-06
5280.0,2.8491511288000838e-08,5.050622920218369e-08,9.272587189784057e-09,4.9371879277897095e-08,1.5063924491258332e-06
5340.0,2.78406158899693e-08,4.9819819855927975e-08,9.389509949721753e-09,5.00226852027759e-08,1.5070750933229e-06
