x_um,y_um,S2_free_nM,I2_nM,Th2_nM,S2_I2_nM,S2_Th2_nM,S2_total_nM
2372.4568123789813,2483.9408895911884,15.239234632401136,0.0,0.0,0.0,0.0,15.239234632401136
2389.099401452197,2497.095001764659,18.72798681618544,0.0,0.0,0.0,0.0,18.72798681618544
2389.4211165151905,2528.694209971203,15.393900517599663,0.0,0.0,0.0,0.0,15.393900517599663
2401.140844714822,2474.026883767999,16.305316245493856,0.0,0.0,0.0,0.0,16.305316245493856
2384.901964294452,2478.1193242504137,16.346058403273585,0.0,0.0,0.0,0.0,16.346058403273585
2383.7946760138384,2500.972810462497,18.206001279700875,0.0,0.0,0.0,0.0,18.206001279700875
2365.7461262902266,2488.5124309127864,13.969995389028318,0.0,0.0,0.0,0.0,13.969995389028318
2382.9343496239626,2497.4191025408268,18.09253176261643,0.0,0.0,0.0,0.0,18.09253176261643
2423.1232184905957,2520.479572049748,15.227314812895788,0.0,0.0,0.0,0.0,15.227314812895788
2419.5042683144793,2521.4056571326178,15.735376278507106,0.0,0.0,0.0,0.0,15.735376278507106
2377.9230318789855,2502.478992432115,17.318746110572857,0.0,0.0,0.0,0.0,17.318746110572857
2419.6398240533,2517.3947213340703,16.33351711060438,0.0,0.0,0.0,0.0,16.33351711060438
2367.871641458187,2486.8793519377464,14.413080047016408,0.0,0.0,0.0,0.0,14.413080047016408
2408.4019623684885,2529.041737253024,15.488706847850535,0.0,0.0,0.0,0.0,15.488706847850535
2389.050816765684,2486.381236594962,17.969220159809492,0.0,0.0,0.0,0.0,17.969220159809492
2415.501954384607,2492.5615283854986,17.94573813214391,0.0,0.0,0.0,0.0,17.94573813214391
2423.8209988120957,2515.148899043541,15.904215570245245,0.0,0.0,0.0,0.0,15.904215570245245
2384.0363550421007,2467.7908525357375,13.972191200921026,0.0,0.0,0.0,0.0,13.972191200921026
2419.9950650889455,2530.079419768887,13.8080500172765,0.0,0.0,0.0,0.0,13.8080500172765
2369.8976889491096,2519.96007849194,13.943283473044206,0.0,0.0,0.0,0.0,13.943283473044206
2430.0183854271168,2479.953262595854,13.74384309083956,0.0,0.0,0.0,0.0,13.74384309083956
2369.9039796823945,2479.890482137391,13.992878530225255,0.0,0.0,0.0,0.0,13.992878530225255
2372.8239870432494,2476.191526348062,14.00141206803193,0.0,0.0,0.0,0.0,14.00141206803193
2430.064093719699,2520.098840275406,13.757229402087718,0.0,0.0,0.0,0.0,13.757229402087718
2434.212528892365,2511.51789809527,13.747881124440044,0.0,0.0,0.0,0.0,13.747881124440044
2388.297404685459,2534.0883669509844,13.924685215660675,0.0,0.0,0.0,0.0,13.924685215660675
2427.174187209515,2523.831782724895,13.769409684336427,0.0,0.0,0.0,0.0,13.769409684336427
2435.4625213707245,2506.9001426996715,13.728836162779661,0.0,0.0,0.0,0.0,13.728836162779661
2392.9384763937355,2535.5006765003495,13.917288683278331,0.0,0.0,0.0,0.0,13.917288683278331
2379.91890050789,2469.8367433563076,13.922808074160955,0.0,0.0,0.0,0.0,13.922808074160955
2430.103018086253,2496.5974531704173,15.377512838355479,0.0,0.0,0.0,0.0,15.377512838355479
2402.50463644682,2536.008946936549,13.891326772646654,0.0,0.0,0.0,0.0,13.891326772646654
2416.0774594598865,2532.502506778181,13.800112708719578,0.0,0.0,0.0,0.0,13.800112708719578
2429.6769975856478,2491.013964871329,15.167752948239482,0.0,0.0,0.0,0.0,15.167752948239482
2427.274674014971,2492.436494154921,15.836028356856126,0.0,0.0,0.0,0.0,15.836028356856126
2424.62651117773,2524.631138391255,14.183125831403796,0.0,0.0,0.0,0.0,14.183125831403796
2375.6939317878873,2475.579160874882,14.444970707458042,0.0,0.0,0.0,0.0,14.444970707458042
2421.1143058108005,2527.6629757505502,14.211396536373476,0.0,0.0,0.0,0.0,14.211396536373476
2372.4133900375095,2521.0143501281814,14.368816117862924,0.0,0.0,0.0,0.0,14.368816117862924
2427.3590722788585,2478.906956341519,14.18419894001175,0.0,0.0,0.0,0.0,14.18419894001175
2430.1802109974365,2517.434879582164,14.16929514606624,0.0,0.0,0.0,0.0,14.16929514606624
2434.736436202785,2504.3671929659404,14.068842328207477,0.0,0.0,0.0,0.0,14.068842328207477
2395.4900128203485,2534.5463932607795,14.338361865456806,0.0,0.0,0.0,0.0,14.338361865456806
2386.8717587584465,2468.25837083954,14.382275492417977,0.0,0.0,0.0,0.0,14.382275492417977
2369.8723387753816,2482.6316829611783,14.42117692340795,0.0,0.0,0.0,0.0,14.42117692340795
2379.121928498888,2472.4401775678234,14.36408403315064,0.0,0.0,0.0,0.0,14.36408403315064
2432.171490095129,2513.228217200855,14.17281964828987,0.0,0.0,0.0,0.0,14.17281964828987
2386.4507904404086,2531.963802354113,14.287919518807646,0.0,0.0,0.0,0.0,14.287919518807646
2400.1893574068995,2534.7356757584203,14.316080637883285,0.0,0.0,0.0,0.0,14.316080637883285
2413.4072965478576,2531.965608552041,14.247798944294052,0.0,0.0,0.0,0.0,14.247798944294052
