Time (hours),I2 (nM),S2_free (nM),S2_total (nM),I1O2_active
0.7833333333333333,77.98283439521943,4.804358427009484,420.50612379827317,1
0.8,76.89627745158124,4.890326287097064,422.56222833115766,1
0.8166666666666667,75.81003584425703,4.967607701895933,424.424879673987,1
0.8333333333333334,74.72630732397505,5.0371424959573945,426.12941430276965,1
0.85,73.64697953418792,5.099839074564405,427.70499514051477,1
0.8666666666666667,72.57365879272413,5.156545676530727,429.17540584375024,1
0.8833333333333333,71.507701318588,5.208033978680547,430.55984917104064,1
0.9,70.45024444874426,5.25499209046171,431.8736984564719,1
0.9166666666666666,69.40223624810722,5.298024170513311,433.12917391520995,1
0.9333333333333333,68.36446259091606,5.337654404248692,434.3359318194238,1
0.95,67.33757128183797,5.374333427355703,435.50156514522564,1
0.9666666666666667,66.32209312589805,5.408446052662807,436.6320210250432,1
0.9833333333333333,65.31846006137293,5.4403192982657025,437.7319434742335,1
1.0,64.32702059446194,5.470230187798899,438.8049513464587,1
1.0166666666666666,63.34805283027918,5.498412986677715,439.853861491947,1
1.0333333333333334,62.381775410349306,5.525065707036185,440.88086642732407,1
1.05,61.428356656952566,5.550355824136948,441.88767479816255,1
1.0666666666666667,60.48792220069326,5.5744252157856,442.87562176402565,1
1.0833333333333333,59.56056133709592,5.597394376064758,443.8457553004859,1
1.1,58.64633232564351,5.6193659748775335,444.7989033686695,1
1.1166666666666667,57.74526681330551,5.640427842240086,445.7357259843795,1
1.1333333333333333,56.85737353580456,5.660655455874848,446.6567554347928,1
1.15,55.98264142433685,5.680114005774673,447.56242723596824,1
1.1666666666666667,55.121042223370786,5.698860102252306,448.45310388656776,1
1.1833333333333333,54.27253270637671,5.716943185966589,449.3290930370351,1
1.2,53.43705656059945,5.734406690393952,450.1906613433495,1
1.2166666666666666,52.614546064948314,5.7512889996706855,451.03804488983366,1
1.2333333333333334,51.80492327374789,5.767624236457338,451.87145749504583,1
1.25,51.00810142307392,5.783442917323403,452.69109637771135,1
1.2666666666666666,50.22398590325865,5.798772485955508,453.4971467959874,1
1.2833333333333334,49.45247517191371,5.813637758989262,454.2897854230227,1
1.3,48.69346155739187,5.8280612948883554,455.06918285207604,1
1.3166666666666667,47.94683196967749,5.842063700581552,455.8355054414633,1
1.3333333333333333,47.21246853260164,5.855663887243047,456.5889166597491,1
1.35,46.49024914879116,5.868879284430447,457.3295780536985,1
1.3666666666666667,45.7800480067531,5.881726020070758,458.05764993242207,1
1.3833333333333333,45.08173603787481,5.894219072386868,458.7732918388486,1
1.4,44.39518132980627,5.906372398718289,459.4766628625805,1
1.4166666666666667,43.72024950162722,5.918199045266505,460.1679218351367,1
1.4333333333333333,43.05680404533577,5.929711241046375,460.84722743862534,1
1.45,42.40470663748987,5.94092047871684,461.51473825129546,1
1.4666666666666666,41.76381742425586,5.9518375844739495,462.1706127476424,1
1.4833333333333334,41.133995282644264,5.962472778789886,462.81500926634686,1
1.5,40.51509806032286,5.972835729459928,463.4480859560011,1
1.5166666666666666,39.90698279607323,5.982935598158574,464.07000070604516,1
1.5333333333333334,39.309505922688025,5.992781081493069,464.6809110684301,1
1.55,38.72252345388137,6.002380447371536,465.28097417407764,1
