x,phi
113.125,4.680865938013985e-13
113.375,5.587785299072555e-13
113.625,6.667140334063237e-13
113.875,7.951073931138219e-13
114.125,9.477596776862287e-13
114.375,1.1291635138227414e-12
114.625,1.3446261400792213e-12
114.875,1.6004138450588215e-12
115.125,1.9039214135156746e-12
115.375,2.2638708014755773e-12
115.625,2.6905439547415812e-12
115.875,3.196055488955102e-12
116.125,3.7946718807890884e-12
116.375,4.503184898465539e-12
116.625,5.341348248127764e-12
116.875,6.332387856490514e-12
117.125,7.50359787926019e-12
117.375,8.887036453007659e-12
117.625,1.0520337434360587e-11
117.875,1.2447656939047225e-11
118.125,1.4720776455346623e-11
118.375,1.740038772002758e-11
118.625,2.0557588476300382e-11
118.875,2.4275622758457577e-11
119.125,2.8651904553193875e-11
119.375,3.380036967160584e-11
119.625,3.985420754081358e-11
119.875,4.696903251776656e-11
120.125,5.5326563385400945e-11
120.375,6.513889007807175e-11
120.625,7.665341858669677e-11
120.875,9.01585986272723e-11
121.125,1.0599055426090186e-10
121.375,1.245407555030149e-10
121.625,1.4626488936417375e-10
121.875,1.7169311207580934e-10
122.125,2.014418908684499e-10
122.375,2.3622767403630037e-10
122.625,2.7688266264730407e-10
122.875,3.243729967141937e-10
123.125,3.798197135748051e-10
123.375,4.445228873663358e-10
123.625,5.19989416637341e-10
123.875,6.079649932448154e-10
124.125,7.104708607683114e-10
124.375,8.298460559035051e-10
124.625,9.687959229819586e-10
124.875,1.1304478013696993e-09
125.125,1.3184149096701805e-09
125.375,1.5368695912409015e-09
125.625,1.790627244591389e-09
125.875,2.0852424420723855e-09
126.125,2.4271189434728343e-09
126.375,2.8236355405954546e-09
126.625,3.2832899278007274e-09
126.875,3.8158630854810854e-09
127.125,4.432606992450326e-09
127.375,5.146458853759678e-09
127.625,5.9722854474345494e-09
127.875,6.927161662570963e-09
128.125,8.03068782825404e-09
128.375,9.305351024650714e-09
128.625,1.0776936231912678e-08
128.875,1.2474993917544574e-08
129.125,1.4433371497880752e-08
129.375,1.669081704448707e-08
129.625,1.929166465295233e-08
129.875,2.2286612062125355e-08
130.125,2.5733602420145504e-08
130.375,2.969882355477273e-08
130.625,3.425783973625274e-08
130.875,3.949687273963669e-08
131.125,4.5514251040325714e-08
131.375,5.2422048233832074e-08
131.625,6.034793428271011e-08
131.875,6.943726598703167e-08
132.125,7.985544617893605e-08
132.375,9.179058458871141e-08
132.625,1.054564971545938e-07
132.875,1.2109608478927192e-07
133.125,1.389851373147208e-07
133.375,1.5943661347899028e-07
133.625,1.82805453723537e-07
133.875,2.094939887315727e-07
134.125,2.399580138153596e-07
134.375,2.7471360695710774e-07
134.625,3.14344776873199e-07
134.875,3.5951203689973724e-07
135.125,4.1096201087992393e-07
135.375,4.6953818865808165e-07
135.625,5.361929613459058e-07
135.875,6.120010803257632e-07
136.125,6.981746991035492e-07
136.375,7.96080173738109e-07
136.625,9.072568157827279e-07
136.875,1.0334378116132971e-06
137.125,1.176573543833903e-06
137.375,1.3388575743006055e-06
137.625,1.522755574355803e-06
137.875,1.7310375162979607e-06
138.125,1.966813471115693e-06
138.375,2.2335733912947465e-06
138.625,2.535231294277759e-06
138.875,2.876174302149625e-06
139.125,3.261317036579606e-06
139.375,3.696161915232941e-06
139.625,4.18686594704236e-06
139.875,4.740314679191261e-06
140.125,5.364204008708387e-06
140.375,6.067130636527254e-06
140.625,6.858692012056518e-06
140.875,7.74959669209011e-06
141.125,8.751786119624081e-06
141.375,9.878568916222142e-06
141.625,1.1144768876380907e-05
141.875,1.2566887954300516e-05
142.125,1.4163285642993389e-05
142.375,1.5954376263203242e-05
142.625,1.79628458056117e-05
142.875,2.0213890104745686e-05
143.125,2.2735476267341017e-05
143.375,2.555862943215118e-05
143.625,2.8717747102806655e-05
143.875,3.225094347082729e-05
144.125,3.6200426332767794e-05
144.375,4.0612909404234836e-05
144.625,4.554006304465195e-05
144.875,5.103900663065515e-05
145.125,5.717284605336213e-05
145.375,6.401126006593658e-05
145.625,7.163113947331702e-05
